class_id,class_label,precision,recall,f1_score,support
66,6,0.9680284191829485,0.8365310821181888,0.8974886784685056,1303
67,77,0.9204545454545454,1.0,0.9585798816568047,81
68,94,0.27906976744186046,0.5333333333333333,0.366412213740458,45
69,86,0.5428571428571428,0.7450980392156863,0.6280991735537191,51
70,93,0.27702702702702703,0.9111111111111111,0.42487046632124353,45
71,31,0.6919191919191919,0.5524193548387096,0.6143497757847534,248
72,36,0.8,0.9523809523809523,0.8695652173913043,147
73,88,0.9473684210526315,1.0,0.972972972972973,54
74,56,0.15625,0.3875968992248062,0.22271714922049,129
75,98,0.1348314606741573,0.24,0.1726618705035971,50
76,91,0.6307692307692307,0.9761904761904762,0.7663551401869158,42
77,17,0.9958847736625515,0.9918032786885246,0.9938398357289527,488
78,81,0.0962962962962963,0.5652173913043478,0.16455696202531644,46
79,24,0.9182389937106918,0.9449838187702265,0.9314194577352471,309
80,34,0.6600790513833992,0.8106796116504854,0.727668845315904,206
81,12,0.9816643159379408,0.9858356940509915,0.9837455830388693,706
82,87,0.1308411214953271,0.49122807017543857,0.20664206642066418,57
83,8,0.8675373134328358,0.8462238398544131,0.8567480423767848,1099
84,46,0.595,0.8561151079136691,0.7020648967551623,139
85,72,0.7934782608695652,0.9605263157894737,0.869047619047619,76
86,57,0.5371428571428571,0.746031746031746,0.6245847176079734,126
87,53,0.9253731343283582,0.992,0.9575289575289575,125
88,14,0.6463223787167449,0.7777777777777778,0.705982905982906,531
89,65,0.8571428571428571,0.9375,0.8955223880597014,96
90,15,0.925601750547046,0.9057815845824411,0.9155844155844155,467
91,68,0.21978021978021978,0.821917808219178,0.34682080924855496,73
92,35,0.6094890510948905,0.8652849740932642,0.7152034261241969,193
93,85,0.20657276995305165,0.88,0.3346007604562738,50
94,61,0.6739130434782609,0.8230088495575221,0.7410358565737051,113
95,95,0.75,0.9230769230769231,0.8275862068965517,39
96,32,0.8530805687203792,0.9326424870466321,0.891089108910891,193
97,3,0.6357935359382537,0.7078410311493019,0.6698856416772554,1862
98,30,0.315,0.8111587982832618,0.453781512605042,233
99,75,0.8148148148148148,1.0,0.8979591836734693,66
macro_avg,macro_avg,0.7068917488457597,0.793306978445204,0.7278329798777622,33704
weighted_avg,weighted_avg,0.8458542599615216,0.7971457393781154,0.8078601878478097,33704
