dataset,seed,metric,metric_desirability,anchor_main_effect_raw,generation_main_effect_raw,interaction_raw,anchor_main_effect_benefit_aligned,generation_main_effect_benefit_aligned,interaction_benefit_aligned,decomposition_label
ember,49,balanced_accuracy,higher_is_better,0.5859899514446647,0.1514255577628598,-0.3048429603912048,0.5859899514446647,0.1514255577628598,-0.3048429603912048,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,50,final_tm_accuracy,higher_is_better,0.6071366071694588,0.06375334174113471,-0.1334191092995681,0.6071366071694588,0.06375334174113471,-0.1334191092995681,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,50,tm_aia,higher_is_better,0.3909687287986592,0.16507428308505911,-0.3198630425834841,0.3909687287986592,0.16507428308505911,-0.3198630425834841,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,50,sw_aia,higher_is_better,0.5148837589712045,0.16820239617836924,-0.3445846709809425,0.5148837589712045,0.16820239617836924,-0.3445846709809425,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,50,forgetting,lower_is_better,-0.7872736889270942,-0.06427777875548221,0.20290080498162744,0.7872736889270942,0.06427777875548221,-0.20290080498162744,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,50,bwt,higher_is_better,0.7881627847291539,0.06338868295342243,-0.20467899658574706,0.7881627847291539,0.06338868295342243,-0.20467899658574706,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,50,acquisition,higher_is_better,-0.10937501531159016,0.0061272663289326235,0.05265270577838377,-0.10937501531159016,0.0061272663289326235,0.05265270577838377,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,50,final_old_task_accuracy,higher_is_better,0.6807015261508675,0.07083117384913247,-0.15229817312208685,0.6807015261508675,0.07083117384913247,-0.15229817312208685,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,50,final_new_task_accuracy,higher_is_better,-0.12851258264462806,-0.0070249793388429405,0.055371528925619806,-0.12851258264462806,-0.0070249793388429405,0.055371528925619806,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,50,macro_f1,higher_is_better,0.6376436499984487,0.0787714846404617,-0.17884684781847152,0.6376436499984487,0.0787714846404617,-0.17884684781847152,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,50,weighted_f1,higher_is_better,0.691711940670099,0.10629901907457587,-0.21910246345023038,0.691711940670099,0.10629901907457587,-0.21910246345023038,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,50,balanced_accuracy,higher_is_better,0.6920923988417393,0.06646490700354418,-0.131734496039838,0.6920923988417393,0.06646490700354418,-0.131734496039838,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,51,final_tm_accuracy,higher_is_better,0.5104850184575951,0.18915602722536506,-0.39766492519433005,0.5104850184575951,0.18915602722536506,-0.39766492519433005,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,51,tm_aia,higher_is_better,0.4068838968125525,0.15604520429340168,-0.31769017625342155,0.4068838968125525,0.15604520429340168,-0.31769017625342155,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
ember,51,sw_aia,higher_is_better,0.5752671104475907,0.12542945013194684,-0.26218371134352125,0.5752671104475907,0.12542945013194684,-0.26218371134352125,STANDARD_A_NATIVE_PROTOCOL_FACTORIAL_DECOMPOSITION
