dataset,seed,variant,source_provenance,final_tm_accuracy,tm_aia,sw_aia,forgetting,bwt,acquisition,final_old_task_accuracy,final_new_task_accuracy,macro_f1,weighted_f1,balanced_accuracy,metric_unit,class_order_evidence
az_class,43,current_only,HISTORICAL_REUSED,0.087426,0.2543219010822511,0.12644997620996237,0.9497529,-0.9497529,0.9508377272727273,0.0,0.961686,0.003005238748623071,0.0006398941274972845,0.04861319340329835,fraction,INFERRED_FROM_SEEDED_PROTOCOL
az_class,44,current_only,HISTORICAL_REUSED,0.09300218181818182,0.2639527084841926,0.13053993552478046,0.9619259,-0.9619259,0.9674802727272728,0.0029365,0.993659,0.012665997753002398,0.010491534311749161,0.05840905601184108,fraction,INFERRED_FROM_SEEDED_PROTOCOL
az_class,45,current_only,HISTORICAL_REUSED,0.08985881818181818,0.25947040295159385,0.1500899870997447,0.9761287,-0.9761287,0.9772485454545454,0.0,0.988447,0.006944751730437712,0.015453061162548442,0.04963585113364786,fraction,INFERRED_FROM_SEEDED_PROTOCOL
az_class,46,current_only,HISTORICAL_REUSED,0.08933054545454545,0.26382983295618523,0.1290583150402382,0.9686838,-0.9686838,0.9699521818181818,0.0,0.982636,0.003014322003102512,0.004462623420275991,0.049670531539269015,fraction,INFERRED_FROM_SEEDED_PROTOCOL
az_class,47,current_only,NEW_STANDARD_A_T4,0.08938168241217402,0.2588688613590817,0.12560202550127067,0.9675185183744792,-0.9675185183744792,0.9689439718435189,0.0,0.9831985065339142,0.005282195364910543,0.008766660696607488,0.04961111597033927,fraction,EXACT_VECTOR_MATCH
az_class,48,current_only,NEW_STANDARD_A_T4,0.09083198396175496,0.25876106431363316,0.11585962417122123,0.9708916474922236,-0.9708916474922236,0.9734607544092309,0.0,0.9991518235793045,0.004887033416175095,0.014485418612599308,0.04967741935483871,fraction,EXACT_VECTOR_MATCH
az_class,49,current_only,NEW_STANDARD_A_T4,0.08969965732715178,0.25851338104595484,0.14627777481413948,0.9722915478668377,-0.9722915478668377,0.9736010644788223,0.0,0.9866962305986696,0.009394145079111573,0.008389685832006796,0.04925524104860938,fraction,EXACT_VECTOR_MATCH
az_class,50,current_only,NEW_STANDARD_A_T4,0.0896620943459351,0.2618553047578277,0.1494619147583879,0.9663771139110329,-0.9663771139110329,0.968186743355965,0.0,0.986283037805286,0.01211137815781302,0.02518266601197694,0.049490618683332016,fraction,EXACT_VECTOR_MATCH
az_class,51,current_only,NEW_STANDARD_A_T4,0.09069849069849069,0.25605721795058983,0.1362616907053509,0.9732749240705638,-0.9732749240705638,0.9754938762171851,0.0,0.9976833976833976,0.0036114934509351004,0.005792141638115053,0.04994894128735558,fraction,EXACT_VECTOR_MATCH
az_class,42,full_hybrid,HISTORICAL_REUSED,0.7283874545454545,0.7984973045618523,0.7585797391562461,0.0987489,-0.0987489,0.8181591818181818,0.7588708000000001,0.423554,0.6638206944923604,0.7015385505460221,0.8285756341837501,fraction,INFERRED_FROM_SEEDED_PROTOCOL
az_class,43,full_hybrid,HISTORICAL_REUSED,0.7475097272727272,0.7604702517217631,0.7493004578947047,0.08205550000000003,-0.07768350000000004,0.818131090909091,0.7322223999999999,0.900383,0.6781164512983427,0.7202082334337633,0.8351603147915406,fraction,INFERRED_FROM_SEEDED_PROTOCOL
az_class,44,full_hybrid,HISTORICAL_REUSED,0.7479624545454545,0.8139700111635839,0.7672197748226636,0.0750348,-0.0732751,0.8145761818181818,0.7427967,0.79962,0.6793185301303976,0.7143605075477201,0.8337593429685971,fraction,INFERRED_FROM_SEEDED_PROTOCOL
az_class,45,full_hybrid,HISTORICAL_REUSED,0.7329359090909091,0.8152725081136036,0.7741134386216817,0.0818827,-0.07880720000000001,0.8045788181818182,0.7249448000000001,0.812847,0.6818523765079041,0.717470098004549,0.8444721903431223,fraction,INFERRED_FROM_SEEDED_PROTOCOL
az_class,46,full_hybrid,HISTORICAL_REUSED,0.7588953636363637,0.7799655964056146,0.7389551937768464,0.08813810000000001,-0.08018340000000002,0.8317893636363636,0.7628828,0.719021,0.6708928095771715,0.7125520764828012,0.8318227327030238,fraction,INFERRED_FROM_SEEDED_PROTOCOL
az_class,47,full_hybrid,HISTORICAL_REUSED,0.7149121818181818,0.7782851073297915,0.7668362328204599,0.10665750000000003,-0.10665750000000003,0.8118735454545455,0.7035159999999999,0.828874,0.6799011347658954,0.715775467581148,0.8390096706996201,fraction,INFERRED_FROM_SEEDED_PROTOCOL
az_class,48,full_hybrid,HISTORICAL_REUSED,0.7642848181818181,0.762582530080021,0.7482939070311363,0.07457269999999998,-0.06882659999999999,0.8268544545454546,0.741307,0.994063,0.6766846578913283,0.7184082954305882,0.8404467751882041,fraction,INFERRED_FROM_SEEDED_PROTOCOL
az_class,49,full_hybrid,HISTORICAL_REUSED,0.7063515454545454,0.7562933832808606,0.7604804615229259,0.10744070000000003,-0.1025296,0.7995602727272728,0.6878514,0.891353,0.6733719876395786,0.7085173418649786,0.8344447229575634,fraction,INFERRED_FROM_SEEDED_PROTOCOL
az_class,50,full_hybrid,HISTORICAL_REUSED,0.7013121818181818,0.7648100401580742,0.7920645017561871,0.09238569999999999,-0.08748789999999998,0.7808466363636364,0.6992788,0.721646,0.6771273570185392,0.7164554005774472,0.8370574498079405,fraction,INFERRED_FROM_SEEDED_PROTOCOL
az_class,51,full_hybrid,HISTORICAL_REUSED,0.7484896363636363,0.7813319729666798,0.7349274929425044,0.11761430000000002,-0.1109258,0.8493312727272727,0.7329911,0.903475,0.6733670491251337,0.7062537963431759,0.8303780705688955,fraction,INFERRED_FROM_SEEDED_PROTOCOL
az_class,42,generated_only,HISTORICAL_REUSED,0.15510809090909092,0.48831457334382794,0.3828733510360936,0.8578920999999999,-0.8578920999999999,0.93501,0.0815693,0.890496,0.11105680816592906,0.07126035554949625,0.147385816322817,fraction,INFERRED_FROM_SEEDED_PROTOCOL
az_class,43,generated_only,HISTORICAL_REUSED,0.4054722727272727,0.4945225509477896,0.29651912519068424,0.5956071000000001,-0.5956071000000001,0.9469332727272728,0.3464026,0.996169,0.25379626996740123,0.23712120475428525,0.3156739040807285,fraction,INFERRED_FROM_SEEDED_PROTOCOL
az_class,44,generated_only,HISTORICAL_REUSED,0.2762875454545454,0.5150569014987538,0.3464118140535124,0.7512469,-0.7512469,0.9592392727272727,0.2048041,0.991122,0.20504746517696276,0.15763626993015545,0.2462154309417235,fraction,INFERRED_FROM_SEEDED_PROTOCOL
az_class,45,generated_only,HISTORICAL_REUSED,0.2760278181818182,0.4855303139905549,0.3252218188111631,0.732186,-0.732186,0.9416514545454546,0.210516,0.931146,0.15687115013207753,0.15037266843179156,0.1990093251314783,fraction,INFERRED_FROM_SEEDED_PROTOCOL
az_class,46,generated_only,HISTORICAL_REUSED,0.28793090909090907,0.4608120062016267,0.25561580725936733,0.7196344,-0.7196344,0.942144,0.2217753,0.949487,0.1823843400613519,0.1218708380613364,0.21408937236534908,fraction,INFERRED_FROM_SEEDED_PROTOCOL
az_class,47,generated_only,NEW_STANDARD_A_T4,0.3158452275382404,0.5101379844172107,0.33035692379843395,0.6901111830962344,-0.6901111830962344,0.9432190303529989,0.2509145044924378,0.9651524579962664,0.19767266000953165,0.1569745299962613,0.2480448258790074,fraction,EXACT_VECTOR_MATCH
az_class,48,generated_only,NEW_STANDARD_A_T4,0.3661094596547241,0.5004184830027639,0.33120809787006666,0.6472829580571829,-0.6472829580571829,0.9545485124339813,0.3029748585464052,0.9974554707379135,0.22836099653891623,0.1873971112717903,0.2843128194852209,fraction,EXACT_VECTOR_MATCH
az_class,49,generated_only,NEW_STANDARD_A_T4,0.23980196923114983,0.4498613707383049,0.3055628936833478,0.7735425616170584,-0.7735425616170584,0.943022479792112,0.17364912846025146,0.9013303769401331,0.12237728397098445,0.11566744217645923,0.16110416110389764,fraction,EXACT_VECTOR_MATCH
az_class,50,generated_only,NEW_STANDARD_A_T4,0.2339442509380916,0.468296070501146,0.3586418071274051,0.7822956585790385,-0.7822956585790385,0.9451221223735811,0.16202251678131527,0.9531615925058547,0.2261006675782734,0.16802242477442103,0.2536891135940886,fraction,EXACT_VECTOR_MATCH
az_class,51,generated_only,NEW_STANDARD_A_T4,0.3657966130298767,0.49361162285354704,0.34727396082717,0.6464153908648185,-0.6464153908648185,0.9534469683615299,0.3029168148734049,0.9945945945945946,0.2943476522144984,0.24301947356021233,0.322616579444001,fraction,EXACT_VECTOR_MATCH
ember,42,anchor_only,NEW_STANDARD_A_T4,0.7760724449384228,0.8253284228827006,0.8485722988325932,0.08231287274319332,-0.07752194451303815,0.8465469399502755,0.7671574270977283,0.865222623345367,0.7184947911333543,0.799624660739754,0.7996580360303036,fraction,EXACT_VECTOR_MATCH
ember,43,anchor_only,NEW_STANDARD_A_T4,0.7925400032806945,0.8366503018100896,0.835100597857656,0.07805550058714647,-0.07454230343499954,0.8603057336761487,0.8004204477679423,0.7137355584082157,0.7253428293949504,0.8113225835102276,0.8012989199027823,fraction,EXACT_VECTOR_MATCH
ember,44,anchor_only,NEW_STANDARD_A_T4,0.796619533606649,0.8328612702599011,0.8458953638472795,0.07243370274615012,-0.07152461183705922,0.8616419080039756,0.7955777832636102,0.807037037037037,0.7302788836669412,0.8096641361554632,0.7960298763541503,fraction,EXACT_VECTOR_MATCH
ember,45,anchor_only,NEW_STANDARD_A_T4,0.788299309111816,0.8417333027901438,0.8367012797425818,0.08511978662380205,-0.0710500361495572,0.8528902510659588,0.7945425287818776,0.7258671124111993,0.7272523228375363,0.8061630541798632,0.8020185160564798,fraction,EXACT_VECTOR_MATCH
ember,46,anchor_only,NEW_STANDARD_A_T4,0.7800828372230014,0.8383728914819774,0.8381297941277709,0.06252667313804787,-0.046059271615992214,0.8219549023284487,0.7642135699248933,0.9387755102040817,0.7179039433262279,0.8045188661108055,0.7925731475436099,fraction,EXACT_VECTOR_MATCH
ember,47,anchor_only,NEW_STANDARD_A_T4,0.7668656490084979,0.7517921760197662,0.8180492200196702,0.06267537260441751,-0.057893766620125006,0.8194963459358843,0.7509396498759155,0.9261256403343219,0.7210744057595773,0.8142496136231356,0.7947543573074131,fraction,EXACT_VECTOR_MATCH
ember,48,anchor_only,NEW_STANDARD_A_T4,0.7589724075228311,0.8030871859148238,0.8183692412221905,0.10398000664689286,-0.0857964374556579,0.8369691688461565,0.7379573493648912,0.9691229891022315,0.7225170040871484,0.8102614061224398,0.7965276375295857,fraction,EXACT_VECTOR_MATCH
ember,49,anchor_only,NEW_STANDARD_A_T4,0.8179354743297012,0.8218781291674125,0.8203289133761879,0.050926600223709914,-0.04527612443769234,0.8590955874548759,0.8107613306673205,0.8896769109535066,0.7200356308696402,0.8126438638503969,0.7975542298998589,fraction,EXACT_VECTOR_MATCH
ember,50,anchor_only,NEW_STANDARD_A_T4,0.7604727583631948,0.8153499728223199,0.8453568160956576,0.07576927626466848,-0.07399108466054888,0.8277373807818755,0.756850612711911,0.7966942148760331,0.7310492332549476,0.8081673648522122,0.8022976177628209,fraction,EXACT_VECTOR_MATCH
ember,51,anchor_only,NEW_STANDARD_A_T4,0.7983992535536181,0.8425973533794195,0.8479378257289089,0.05563289305411763,-0.05348650040077332,0.8470233448270483,0.7850230985069697,0.9321608040201005,0.7201816005284748,0.8154884851394354,0.7942386035737975,fraction,EXACT_VECTOR_MATCH
ember,42,current_only,HISTORICAL_REUSED,0.08970572727272727,0.26079739851108485,0.13287708254604022,0.9574045999999999,-0.9574045999999999,0.9600735454545454,0.0,0.986763,0.002339002733416743,0.0013319475429867385,0.0493653921955065,fraction,INFERRED_FROM_SEEDED_PROTOCOL
ember,43,current_only,HISTORICAL_REUSED,0.087058,0.26884764538239536,0.12113869294274986,0.9769707000000001,-0.9769707000000001,0.9752131818181818,0.0,0.957638,0.005884071311142376,0.0031311390013053827,0.04778470936690114,fraction,INFERRED_FROM_SEEDED_PROTOCOL
ember,44,current_only,HISTORICAL_REUSED,0.08919190909090909,0.26313167957825007,0.14891257647326006,0.9720179,-0.9720179,0.9728445454545455,0.0,0.981111,0.006307056614479846,0.013795073175223809,0.048877194380454715,fraction,INFERRED_FROM_SEEDED_PROTOCOL
ember,45,current_only,HISTORICAL_REUSED,0.08995936363636364,0.26288373269710086,0.12356122525314145,0.9709382,-0.9709382,0.9726304545454546,0.0,0.989553,0.014854469742288334,0.011301211104773539,0.049149231915754286,fraction,INFERRED_FROM_SEEDED_PROTOCOL
ember,46,current_only,HISTORICAL_REUSED,0.08874454545454545,0.2600530346517119,0.14072374101109483,0.9559135,-0.9559135,0.9577568181818182,0.0,0.97619,0.006061450605134308,0.002639264762604724,0.0487997574059521,fraction,INFERRED_FROM_SEEDED_PROTOCOL
ember,47,current_only,NEW_STANDARD_A_T4,0.09073751807642344,0.2628189354647503,0.133963832352873,0.9623481288209474,-0.9623481288209474,0.9655994533681937,0.0,0.9981126988406579,0.009675379148319275,0.02990957444307419,0.049940579484454226,fraction,EXACT_VECTOR_MATCH
ember,48,current_only,NEW_STANDARD_A_T4,0.09729729427807644,0.2619903882709345,0.13450015612005561,0.9595979228851709,-0.9595979228851709,0.9696590423555045,0.007468123861566485,0.9955889984431759,0.00994710412971344,0.059222525979997706,0.05375928432825969,fraction,EXACT_VECTOR_MATCH
ember,49,current_only,NEW_STANDARD_A_T4,0.10835306558334237,0.2590381187955028,0.13924385110832044,0.932811024198738,-0.932811024198738,0.956363087582195,0.019424778761061946,0.9976359338061466,0.01930489903353241,0.02268150413438031,0.05914279825959178,fraction,EXACT_VECTOR_MATCH
ember,50,current_only,NEW_STANDARD_A_T4,0.08662659654395191,0.2644497227319187,0.15818072163398192,0.9644933676825763,-0.9644933676825763,0.9634387489826576,0.0,0.952892561983471,0.003982159347263193,0.006904192456997986,0.04433797090116251,fraction,EXACT_VECTOR_MATCH
ember,51,current_only,NEW_STANDARD_A_T4,0.08908177249885793,0.2768683684401563,0.14157885960955754,0.9731644094550582,-0.9731644094550582,0.9737766901852745,0.0,0.9798994974874372,0.003279645364461809,0.0033965856980466076,0.04876230869088013,fraction,EXACT_VECTOR_MATCH
ember,42,full_hybrid,HISTORICAL_REUSED,0.7817606363636365,0.8238942873966942,0.846862872211187,0.0956485,-0.0956485,0.8687138181818181,0.7748585,0.850782,0.7277835130791821,0.8126552491363538,0.797917596643079,fraction,INFERRED_FROM_SEEDED_PROTOCOL
ember,43,full_hybrid,HISTORICAL_REUSED,0.8101532727272727,0.8416220762724649,0.8312392196482901,0.0812859,-0.0798774,0.8827690909090908,0.8165858,0.745828,0.7338408527303312,0.8163694943805784,0.7973360841275092,fraction,INFERRED_FROM_SEEDED_PROTOCOL
ember,44,full_hybrid,HISTORICAL_REUSED,0.7853905454545455,0.8290873793486817,0.8408963710233951,0.0958983,-0.095777,0.8724605454545454,0.7812629,0.826667,0.7271131847562086,0.8004237203577487,0.790698538881888,fraction,INFERRED_FROM_SEEDED_PROTOCOL
ember,45,full_hybrid,HISTORICAL_REUSED,0.8134740909090908,0.8449852137839433,0.8340414089451962,0.07573540000000002,-0.07573540000000002,0.8823244545454546,0.8200618000000001,0.747597,0.7278329798777622,0.8078601878478097,0.793306978445204,fraction,INFERRED_FROM_SEEDED_PROTOCOL
ember,46,full_hybrid,HISTORICAL_REUSED,0.7974227272727272,0.8413861109208973,0.8319592288676635,0.0720314,-0.0706598,0.8616589090909091,0.7836276,0.935374,0.7174219793461515,0.8048214541470325,0.7962775795256956,fraction,INFERRED_FROM_SEEDED_PROTOCOL
ember,47,full_hybrid,HISTORICAL_REUSED,0.7613695454545454,0.7504683786632559,0.8104228970888504,0.1013773,-0.1000673,0.8523398181818181,0.7445165,0.9299,0.7152487533557654,0.8022339115312742,0.7924180164212403,fraction,INFERRED_FROM_SEEDED_PROTOCOL
ember,48,full_hybrid,HISTORICAL_REUSED,0.7643014545454545,0.8019960595041322,0.8118431556540266,0.1251642,-0.1251642,0.8780870909090909,0.7440009,0.967307,0.7239063138918514,0.8108527798955316,0.7988477705834017,fraction,INFERRED_FROM_SEEDED_PROTOCOL
ember,49,full_hybrid,HISTORICAL_REUSED,0.8151566363636363,0.8239270186737504,0.8138999984672751,0.0706002,-0.070509,0.8792557272727273,0.8023461,0.943262,0.7231681417708659,0.8061517820252878,0.7965583074671163,fraction,INFERRED_FROM_SEEDED_PROTOCOL
ember,50,full_hybrid,HISTORICAL_REUSED,0.7575165454545455,0.820492734615637,0.8412668767835556,0.1129419,-0.1129419,0.860191,0.7515327,0.817355,0.7203972939861736,0.8049151522016729,0.8028952767464461,fraction,INFERRED_FROM_SEEDED_PROTOCOL
ember,51,full_hybrid,HISTORICAL_REUSED,0.7887228181818181,0.8397974695461105,0.8422754201890951,0.09304050000000003,-0.09042140000000003,0.870924090909091,0.7732484,0.943467,0.7108472350735575,0.8039835868317254,0.788012496549361,fraction,INFERRED_FROM_SEEDED_PROTOCOL
ember,42,generated_only,HISTORICAL_REUSED,0.3967518181818182,0.5559129746687655,0.39999510976013597,0.5920164,-0.5920164,0.9349485454545454,0.33859310000000004,0.978339,0.23237712808383237,0.21318386577279216,0.2765010551846554,fraction,INFERRED_FROM_SEEDED_PROTOCOL
ember,43,generated_only,HISTORICAL_REUSED,0.4378591818181818,0.6413903454250295,0.503518973206475,0.5815437,-0.5815437,0.9665352727272727,0.3878068,0.938383,0.2646143254334452,0.23146903390322965,0.31600520346167144,fraction,INFERRED_FROM_SEEDED_PROTOCOL
ember,44,generated_only,HISTORICAL_REUSED,0.48084009090909097,0.6433878552702349,0.5273236186779463,0.5234829999999999,-0.5234829999999999,0.9567337272727272,0.43784999999999996,0.910741,0.2675079519484635,0.25534692395057934,0.3048501141878004,fraction,INFERRED_FROM_SEEDED_PROTOCOL
ember,45,generated_only,HISTORICAL_REUSED,0.43499572727272723,0.6214378951200314,0.4672302805083239,0.5736478999999999,-0.5736478999999999,0.9564938181818181,0.3861008,0.923945,0.29140207903435555,0.2887032452379921,0.31146734633921097,fraction,INFERRED_FROM_SEEDED_PROTOCOL
ember,46,generated_only,HISTORICAL_REUSED,0.3519384545454546,0.6197994394103371,0.46590295906740775,0.6490999,-0.6490999,0.9420292727272728,0.2899668,0.971655,0.2046292734371914,0.18484134050196813,0.25002472335242243,fraction,INFERRED_FROM_SEEDED_PROTOCOL
ember,47,generated_only,NEW_STANDARD_A_T4,0.41514258163310663,0.49845583117131337,0.4039857907761418,0.5815070737936161,-0.5815070737936161,0.9437853759909394,0.35789706627255635,0.9875977352386088,0.24636578744014437,0.27079556755035644,0.3009186120616913,fraction,EXACT_VECTOR_MATCH
ember,48,generated_only,NEW_STANDARD_A_T4,0.4165743277973403,0.5788960752982287,0.4587317605880136,0.5886754770092976,-0.5886754770092976,0.9517338523512472,0.35947721984017755,0.9875454073689673,0.3380622693021806,0.40743867377773324,0.3601573980513139,fraction,EXACT_VECTOR_MATCH
ember,49,generated_only,NEW_STANDARD_A_T4,0.46202494447540715,0.5803741313726675,0.4208882299053131,0.5219598019253786,-0.5219598019253786,0.9365338553166606,0.4094094720198746,0.9881796690307328,0.3285500169028115,0.290275727390576,0.362989836218054,fraction,EXACT_VECTOR_MATCH
ember,50,generated_only,NEW_STANDARD_A_T4,0.21708949293487068,0.5894555271087198,0.49867545330282237,0.7987651864362804,-0.7987651864362804,0.9432396624223983,0.1469802604101759,0.9181818181818182,0.17217706789696066,0.22275444325668906,0.1766701259246257,fraction,EXACT_VECTOR_MATCH
ember,51,generated_only,NEW_STANDARD_A_T4,0.477070262321388,0.5917586608602687,0.398100165413265,0.529750494676671,-0.529750494676671,0.9586616211183615,0.4275411076490042,0.9723618090452262,0.22103245435131616,0.23808857765727265,0.2796193678866654,fraction,EXACT_VECTOR_MATCH
