File Path,Dataset,Method,Setting Type,K,Seed,use_diversity_buffer,use_kd,use_proto_align,gan_train_on_real_buffer,result_validity,paper_use_category,validity_reason
result/final-run/AZ-Class/ablation/wgan_projection_generated_only/ahr_malcl_v15_1_final_ablation_critic5_az_k100_wgan_projection_generated_only_results.json,az_class,wgan_projection_generated_only,ablation,100,45,False,False,False,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/AZ-Class/ablation/wgan_projection_generated_only/ahr_malcl_v15_1_final_ablation_critic5_az_k100_wgan_projection_generated_only_results.json,az_class,wgan_projection_generated_only,ablation,100,46,False,False,False,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/AZ-Class/best-performance setting/K=200/ahr_malcl_hr_hybrid_random_buffer_az_k200_results.json;result/final-run/AZ-Class/best-performance setting/K=200/seed=42/full-result.json,az_class,hybrid_random_buffer,final_best_performance,200,42,False,False,False,True,valid_main_hr,main_final_table,official best-performance simplified AHR-MalCL-HR result
result/final-run/AZ-Class/best-performance setting/K=200/ahr_malcl_hr_hybrid_random_buffer_az_k200_results.json;result/final-run/AZ-Class/best-performance setting/K=200/seed=43/full-result.json,az_class,hybrid_random_buffer,final_best_performance,200,43,False,False,False,True,valid_main_hr,main_final_table,official best-performance simplified AHR-MalCL-HR result
result/final-run/AZ-Class/best-performance setting/K=200/ahr_malcl_hr_hybrid_random_buffer_az_k200_results.json;result/final-run/AZ-Class/best-performance setting/K=200/seed=44/full-result.json,az_class,hybrid_random_buffer,final_best_performance,200,44,False,False,False,True,valid_main_hr,main_final_table,official best-performance simplified AHR-MalCL-HR result
result/final-run/AZ-Class/best-performance setting/K=200/ahr_malcl_hr_hybrid_random_buffer_az_k200_results.json;result/final-run/AZ-Class/best-performance setting/K=200/seed=45/full-result.json,az_class,hybrid_random_buffer,final_best_performance,200,45,False,False,False,True,valid_main_hr,main_final_table,official best-performance simplified AHR-MalCL-HR result
result/final-run/AZ-Class/best-performance setting/K=200/ahr_malcl_hr_hybrid_random_buffer_az_k200_results.json;result/final-run/AZ-Class/best-performance setting/K=200/seed=46/full-result.json,az_class,hybrid_random_buffer,final_best_performance,200,46,False,False,False,True,valid_main_hr,main_final_table,official best-performance simplified AHR-MalCL-HR result
result/final-run/AZ-Class/memory-efficient setting/ahr_malcl_v15_1_final_paper_critic5_az_k100_results.json;result/final-run/AZ-Class/memory-efficient setting/seed=42/full-result.json,az_class,hybrid_random_buffer,final_memory_efficient,100,42,True,True,True,True,legacy_or_config_mismatch,supplementary_only,memory-efficient file uses full-complexity flags; not the final simplified AHR-MalCL-HR method
result/final-run/AZ-Class/memory-efficient setting/ahr_malcl_v15_1_final_paper_critic5_az_k100_results.json;result/final-run/AZ-Class/memory-efficient setting/seed=43/full-result.json,az_class,hybrid_random_buffer,final_memory_efficient,100,43,True,True,True,True,legacy_or_config_mismatch,supplementary_only,memory-efficient file uses full-complexity flags; not the final simplified AHR-MalCL-HR method
result/final-run/AZ-Class/memory-efficient setting/ahr_malcl_v15_1_final_paper_critic5_az_k100_results.json;result/final-run/AZ-Class/memory-efficient setting/seed=44/full-result.json,az_class,hybrid_random_buffer,final_memory_efficient,100,44,True,True,True,True,legacy_or_config_mismatch,supplementary_only,memory-efficient file uses full-complexity flags; not the final simplified AHR-MalCL-HR method
result/final-run/AZ-Class/memory-efficient setting/ahr_malcl_v15_1_final_paper_critic5_az_k100_results.json;result/final-run/AZ-Class/memory-efficient setting/seed=45/full-result.json,az_class,hybrid_random_buffer,final_memory_efficient,100,45,True,True,True,True,legacy_or_config_mismatch,supplementary_only,memory-efficient file uses full-complexity flags; not the final simplified AHR-MalCL-HR method
result/final-run/AZ-Class/memory-efficient setting/ahr_malcl_v15_1_final_paper_critic5_az_k100_results.json;result/final-run/AZ-Class/memory-efficient setting/seed=46/full-result.json,az_class,hybrid_random_buffer,final_memory_efficient,100,46,True,True,True,True,legacy_or_config_mismatch,supplementary_only,memory-efficient file uses full-complexity flags; not the final simplified AHR-MalCL-HR method
result/AZ-Class/memory budget /k=0/ahr_malcl_v14_5_az_memory_k0_results.json,az_class,hybrid_random_buffer,memory_budget,0,42,True,True,True,True,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis
result/AZ-Class/memory budget /k=10/ahr_malcl_v14_5_az_memory_k10_results.json,az_class,hybrid_random_buffer,memory_budget,10,42,True,True,True,True,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis
result/AZ-Class/memory budget /k=25/ahr_malcl_v14_5_az_memory_k25_results.json,az_class,hybrid_random_buffer,memory_budget,25,42,True,True,True,True,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis
result/AZ-Class/memory budget /k=50/ahr_malcl_v14_5_az_memory_k50_results.json,az_class,hybrid_random_buffer,memory_budget,50,42,True,True,True,True,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis
result/AZ-Class/memory budget /k=100/ahr_malcl_v14_5_az_memory_k100_results.json,az_class,hybrid_random_buffer,memory_budget,100,42,True,True,True,True,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis
result/AZ-Class/memory budget /k=150/ahr_malcl_v14_5_az_memory_k150_results.json,az_class,hybrid_random_buffer,memory_budget,150,42,True,True,True,True,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis
result/AZ-Class/memory budget /k=200/ahr_malcl_v14_5_az_memory_k200_results.json,az_class,hybrid_random_buffer,memory_budget,200,42,True,True,True,True,valid_memory_budget,memory_budget_table,older memory-budget result used only for memory-budget analysis
result/AZ-Class/first run/ahr_malcl_v14_5_az_validation_k25_results.json,az_class,ahr_malcl_v14_5_az_validation_k25,other,25,42,True,True,True,True,unknown_review_needed,manual_review_needed,"not part of main final, ablation, memory-budget, or replay-drift evidence categories"
result/final-run/EMBER/ablations/classifier real only /ahr_malcl_v15_1_ablation_critic5_classifier_real_only_results.json,ember,classifier_real_only,ablation,25,42,False,False,False,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/classifier real only /ahr_malcl_v15_1_ablation_critic5_classifier_real_only_results.json,ember,classifier_real_only,ablation,25,43,False,False,False,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/classifier real only /ahr_malcl_v15_1_ablation_critic5_classifier_real_only_results.json,ember,classifier_real_only,ablation,25,44,False,False,False,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/classifier real only /ahr_malcl_v15_1_ablation_critic5_classifier_real_only_results.json,ember,classifier_real_only,ablation,25,45,False,False,False,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/classifier real only /ahr_malcl_v15_1_ablation_critic5_classifier_real_only_results.json,ember,classifier_real_only,ablation,25,46,False,False,False,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/hybrid_diversity_buffer/ahr_malcl_v15_1_ablation_critic5_hybrid_diversity_buffer_results.json,ember,hybrid_diversity_buffer,ablation,25,42,True,False,False,True,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/hybrid_diversity_buffer/ahr_malcl_v15_1_ablation_critic5_hybrid_diversity_buffer_results.json,ember,hybrid_diversity_buffer,ablation,25,43,True,False,False,True,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/hybrid_diversity_buffer/ahr_malcl_v15_1_ablation_critic5_hybrid_diversity_buffer_results.json,ember,hybrid_diversity_buffer,ablation,25,44,True,False,False,True,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/hybrid_diversity_buffer/ahr_malcl_v15_1_ablation_critic5_hybrid_diversity_buffer_results.json,ember,hybrid_diversity_buffer,ablation,25,45,True,False,False,True,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/hybrid_diversity_buffer/ahr_malcl_v15_1_ablation_critic5_hybrid_diversity_buffer_results.json,ember,hybrid_diversity_buffer,ablation,25,46,True,False,False,True,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/hybrid-random-buffer/ahr_malcl_v15_1_ablation_critic5_hybrid_random_buffer_results.json,ember,hybrid_random_buffer,ablation,25,42,False,False,False,True,valid_memory_efficient_hr,memory_efficient_hr_table,ablation hybrid_random_buffer aggregate provides simplified HR memory-efficient result
result/final-run/EMBER/ablations/hybrid-random-buffer/ahr_malcl_v15_1_ablation_critic5_hybrid_random_buffer_results.json,ember,hybrid_random_buffer,ablation,25,43,False,False,False,True,valid_memory_efficient_hr,memory_efficient_hr_table,ablation hybrid_random_buffer aggregate provides simplified HR memory-efficient result
result/final-run/EMBER/ablations/hybrid-random-buffer/ahr_malcl_v15_1_ablation_critic5_hybrid_random_buffer_results.json,ember,hybrid_random_buffer,ablation,25,44,False,False,False,True,valid_memory_efficient_hr,memory_efficient_hr_table,ablation hybrid_random_buffer aggregate provides simplified HR memory-efficient result
result/final-run/EMBER/ablations/hybrid-random-buffer/ahr_malcl_v15_1_ablation_critic5_hybrid_random_buffer_results.json,ember,hybrid_random_buffer,ablation,25,45,False,False,False,True,valid_memory_efficient_hr,memory_efficient_hr_table,ablation hybrid_random_buffer aggregate provides simplified HR memory-efficient result
result/final-run/EMBER/ablations/hybrid-random-buffer/ahr_malcl_v15_1_ablation_critic5_hybrid_random_buffer_results.json,ember,hybrid_random_buffer,ablation,25,46,False,False,False,True,valid_memory_efficient_hr,memory_efficient_hr_table,ablation hybrid_random_buffer aggregate provides simplified HR memory-efficient result
result/final-run/EMBER/ablations/malcl-like/ahr_malcl_v15_1_ablation_critic5_malcl_like_results.json,ember,malcl_like,ablation,25,42,False,False,False,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/malcl-like/ahr_malcl_v15_1_ablation_critic5_malcl_like_results.json,ember,malcl_like,ablation,25,43,False,False,False,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/malcl-like/ahr_malcl_v15_1_ablation_critic5_malcl_like_results.json,ember,malcl_like,ablation,25,44,False,False,False,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/malcl-like/ahr_malcl_v15_1_ablation_critic5_malcl_like_results.json,ember,malcl_like,ablation,25,45,False,False,False,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/malcl-like/ahr_malcl_v15_1_ablation_critic5_malcl_like_results.json,ember,malcl_like,ablation,25,46,False,False,False,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/plus_kd/ahr_malcl_v15_1_ablation_critic5_plus_kd_results.json,ember,plus_kd,ablation,25,42,True,True,False,True,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/plus_kd/ahr_malcl_v15_1_ablation_critic5_plus_kd_results.json,ember,plus_kd,ablation,25,43,True,True,False,True,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/plus_kd/ahr_malcl_v15_1_ablation_critic5_plus_kd_results.json,ember,plus_kd,ablation,25,44,True,True,False,True,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/plus_kd/ahr_malcl_v15_1_ablation_critic5_plus_kd_results.json,ember,plus_kd,ablation,25,45,True,True,False,True,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/plus_kd/ahr_malcl_v15_1_ablation_critic5_plus_kd_results.json,ember,plus_kd,ablation,25,46,True,True,False,True,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/real-buffer -only/ahr_malcl_v15_1_ablation_critic5_real_buffer_only_results.json,ember,real_buffer_only,ablation,25,42,True,True,True,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/real-buffer -only/ahr_malcl_v15_1_ablation_critic5_real_buffer_only_results.json,ember,real_buffer_only,ablation,25,43,True,True,True,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/real-buffer -only/ahr_malcl_v15_1_ablation_critic5_real_buffer_only_results.json,ember,real_buffer_only,ablation,25,44,True,True,True,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/real-buffer -only/ahr_malcl_v15_1_ablation_critic5_real_buffer_only_results.json,ember,real_buffer_only,ablation,25,45,True,True,True,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/real-buffer -only/ahr_malcl_v15_1_ablation_critic5_real_buffer_only_results.json,ember,real_buffer_only,ablation,25,46,True,True,True,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/wgan-projection-generated-only/ahr_malcl_v15_1_ablation_critic5_wgan_projection_generated_only_results.json,ember,wgan_projection_generated_only,ablation,25,42,False,False,False,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/wgan-projection-generated-only/ahr_malcl_v15_1_ablation_critic5_wgan_projection_generated_only_results.json,ember,wgan_projection_generated_only,ablation,25,43,False,False,False,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/wgan-projection-generated-only/ahr_malcl_v15_1_ablation_critic5_wgan_projection_generated_only_results.json,ember,wgan_projection_generated_only,ablation,25,44,False,False,False,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/wgan-projection-generated-only/ahr_malcl_v15_1_ablation_critic5_wgan_projection_generated_only_results.json,ember,wgan_projection_generated_only,ablation,25,45,False,False,False,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/ablations/wgan-projection-generated-only/ahr_malcl_v15_1_ablation_critic5_wgan_projection_generated_only_results.json,ember,wgan_projection_generated_only,ablation,25,46,False,False,False,False,valid_ablation,ablation_table,controlled ablation result under final ablation folders
result/final-run/EMBER/best-performance setting/K=100/ahr_malcl_hr_hybrid_random_buffer_ember_k100_results.json;result/final-run/EMBER/best-performance setting/K=100/seed=42/full-result.json,ember,hybrid_random_buffer,final_best_performance,100,42,False,False,False,True,valid_main_hr,main_final_table,official best-performance simplified AHR-MalCL-HR result
result/final-run/EMBER/best-performance setting/K=100/ahr_malcl_hr_hybrid_random_buffer_ember_k100_results.json;result/final-run/EMBER/best-performance setting/K=100/seed=43/full-result.json,ember,hybrid_random_buffer,final_best_performance,100,43,False,False,False,True,valid_main_hr,main_final_table,official best-performance simplified AHR-MalCL-HR result
result/final-run/EMBER/best-performance setting/K=100/ahr_malcl_hr_hybrid_random_buffer_ember_k100_results.json;result/final-run/EMBER/best-performance setting/K=100/seed=44/full-result.json,ember,hybrid_random_buffer,final_best_performance,100,44,False,False,False,True,valid_main_hr,main_final_table,official best-performance simplified AHR-MalCL-HR result
result/final-run/EMBER/best-performance setting/K=100/ahr_malcl_hr_hybrid_random_buffer_ember_k100_results.json;result/final-run/EMBER/best-performance setting/K=100/seed=45/full-result.json,ember,hybrid_random_buffer,final_best_performance,100,45,False,False,False,True,valid_main_hr,main_final_table,official best-performance simplified AHR-MalCL-HR result
