dataset,setting_type,k,metric,comparison_family,comparison_label,method_a,method_b,n_pairs,seeds,mean_a,mean_b,mean_difference_a_minus_b,percent_improvement,ci95_low_difference,ci95_high_difference,cohens_dz,paired_t_p_value,paired_t_holm_p_value,paired_t_holm_reject_0_05
az_class,ablation,100,forgetting,component_effect,KD effect,plus_kd,hybrid_random_buffer,5,"42,43,44,45,46",0.19705917409512813,0.12891016499330907,0.06814900910181906,-52.865504520420295,0.03777326028093348,0.09852475792270465,2.7857147362506534,0.0033829892917287825,0.1524413280449569,False
az_class,ablation,100,macro_f1,component_effect,KD effect,plus_kd,hybrid_random_buffer,5,"42,43,44,45,46",0.5652268075579115,0.6404831115244924,-0.07525630396658083,-11.74992792354105,-0.09358725210107688,-0.05692535583208477,-5.097556470488122,0.0003379099873998682,0.028722348928988797,True
az_class,ablation,100,balanced_accuracy,component_effect,KD effect,plus_kd,hybrid_random_buffer,5,"42,43,44,45,46",0.7610352099121424,0.7959336956981928,-0.03489848578605046,-4.38459710584781,-0.0447036464726485,-0.02509332509945242,-4.419325167367453,0.0005884440035815031,0.03675801418324956,True
az_class,ablation,100,old_class_accuracy,component_effect,KD effect,plus_kd,hybrid_random_buffer,5,"42,43,44,45,46",0.5846709573959069,0.6743425697823894,-0.08967161238648247,-13.297634823116613,-0.11207727440490026,-0.06726595036806468,-4.969369468737552,0.000373176048767868,0.029480907852661574,True
az_class,ablation,100,new_class_accuracy,component_effect,KD effect,plus_kd,hybrid_random_buffer,5,"42,43,44,45,46",0.72371803584617,0.7388623782823497,-0.015144342436179658,-2.0496837951589955,-0.03080775571332099,0.000519070840961677,-1.200516416617569,0.05497463825556578,1.0,False
az_class,ablation,100,mmd_real_generated,component_effect,KD effect,plus_kd,hybrid_random_buffer,5,"42,43,44,45,46",0.0028406381607055,0.002566123008728,0.00027451515197750005,-10.69766145441228,-0.0011905234564535548,0.0017395537604085547,0.23265979422680683,0.6303610815659555,1.0,False
az_class,ablation,100,wasserstein_real_generated,component_effect,KD effect,plus_kd,hybrid_random_buffer,5,"42,43,44,45,46",0.04178097173571582,0.05320556163787839,-0.011424589902162562,21.47254826463313,-0.022144171578415264,-0.0007050082259098603,-1.3233260778434046,0.04159376761646499,1.0,False
ember,ablation,25,mean_acc_seen,component_effect,Generated replay effect,wgan_projection_generated_only,classifier_real_only,5,"42,43,44,45,46",0.472794215530649,0.13344268195599973,0.33935153357464926,254.30509084532952,0.2810650563917707,0.3976380107575278,7.229131049605637,8.567754976526978e-05,0.009681563123475486,True
ember,ablation,25,final_taskwise_average_accuracy,component_effect,Generated replay effect,wgan_projection_generated_only,classifier_real_only,5,"42,43,44,45,46",0.4204770222965541,0.08893191606311421,0.3315451062334399,372.80778477565383,0.27123397678466743,0.3918562356822124,6.825732264562714,0.00010746986483411293,0.011714215266918309,True
ember,ablation,25,forgetting,component_effect,Generated replay effect,wgan_projection_generated_only,classifier_real_only,5,"42,43,44,45,46",0.583958244686044,0.9666489275647067,-0.3826906828786626,39.5894178295714,-0.4471123509992713,-0.31826901475805386,-7.375984777184605,7.913379787248863e-05,0.009021252957463704,True
ember,ablation,25,macro_f1,component_effect,Generated replay effect,wgan_projection_generated_only,classifier_real_only,5,"42,43,44,45,46",0.2521061515874576,0.00708921020129228,0.24501694138616528,3456.195181538017,0.2066153637818442,0.28341851899048637,7.922297312987745,5.965356781239668e-05,0.007247277635133197,True
ember,ablation,25,balanced_accuracy,component_effect,Generated replay effect,wgan_projection_generated_only,classifier_real_only,5,"42,43,44,45,46",0.29176968850515206,0.048795257052913724,0.24297443145223835,497.94682132477783,0.20799570260282246,0.27795316030165423,8.625030524038344,4.2601464436106416e-05,0.005623393305566047,True
ember,ablation,25,old_class_accuracy,component_effect,Generated replay effect,wgan_projection_generated_only,classifier_real_only,5,"42,43,44,45,46",0.20454507997331134,0.0,0.20454507997331134,,0.16178989171471725,0.24730026823190543,5.940244264075236,0.00018567758440842595,0.01801072568761732,True
