f1-score,label,precision,recall,support
0.9300699300699301,45,0.910958904109589,0.95,420.0
0.15267175572519084,46,0.09259259259259259,0.43478260869565216,46.0
0.42201834862385323,47,0.8440366972477065,0.28134556574923547,327.0
0.9805825242718447,48,0.9711538461538461,0.9901960784313726,102.0
0.6391534391534391,49,0.9235474006116208,0.4886731391585761,618.0
0.9650793650793651,50,0.9470404984423676,0.9838187702265372,309.0
0.5517506733358984,51,0.9728629579375848,0.38506981740064444,1862.0
0.9969230769230769,52,0.997946611909651,0.9959016393442623,488.0
0.5776566757493188,53,0.5492227979274611,0.6091954022988506,174.0
0.8699507389162562,54,0.9484425349087003,0.8034576888080073,1099.0
0.948051948051948,55,0.9240506329113924,0.9733333333333334,75.0
0.9532638084202395,56,0.9595645412130638,0.9470452801227935,1303.0
0.7053140096618358,57,0.6134453781512605,0.8295454545454546,88.0
0.9411764705882353,58,0.9056603773584906,0.9795918367346939,147.0
0.8661417322834646,59,0.8208955223880597,0.9166666666666666,60.0
0.21710526315789475,60,0.18857142857142858,0.2558139534883721,129.0
0.759493670886076,61,0.6818181818181818,0.8571428571428571,35.0
0.9779735682819384,62,0.9568965517241379,1.0,111.0
0.5755395683453237,63,0.5882352941176471,0.5633802816901409,142.0
1.0,64,1.0,1.0,127.0
0.7378640776699029,65,0.628099173553719,0.8941176470588236,85.0
0.794425087108014,66,0.7702702702702703,0.8201438848920863,139.0
0.526829268292683,67,0.4090909090909091,0.7397260273972602,73.0
0.8461538461538461,68,0.9263157894736842,0.7787610619469026,113.0
0.7142857142857143,69,0.660377358490566,0.7777777777777778,45.0
0.8613138686131386,70,0.7972972972972973,0.9365079365079365,63.0
0.9183098591549296,71,0.9055555555555556,0.9314285714285714,175.0
0.9321266968325792,72,0.8879310344827587,0.9809523809523809,105.0
0.2361111111111111,73,0.23448275862068965,0.23776223776223776,143.0
0.15384615384615385,74,0.14814814814814814,0.16,50.0
0.6287625418060201,75,0.5433526011560693,0.746031746031746,126.0
0.7951807228915663,76,0.66,1.0,66.0
0.9175257731958762,77,0.9128205128205128,0.9222797927461139,193.0
0.41935483870967744,78,0.3291139240506329,0.5777777777777777,45.0
0.7124463519313304,79,0.6102941176470589,0.8556701030927835,97.0
0.31141868512110726,80,0.25280898876404495,0.40540540540540543,111.0
1.0,81,1.0,1.0,52.0
0.4305177111716621,82,0.39303482587064675,0.4759036144578313,166.0
0.9213483146067416,83,0.9534883720930233,0.8913043478260869,230.0
0.8903886432394694,84,0.9896533885152613,0.8092216582064298,2364.0
0.9833333333333333,85,0.9672131147540983,1.0,118.0
0.7628294036061026,86,0.7724719101123596,0.7534246575342466,365.0
0.6119016817593791,87,0.9604060913705583,0.4489795918367347,2107.0
0.9503759398496241,88,0.9404761904761905,0.9604863221884499,329.0
0.22388059701492538,89,0.19480519480519481,0.2631578947368421,57.0
0.851063829787234,90,0.7692307692307693,0.9523809523809523,42.0
0.3389830508474576,91,0.2608695652173913,0.4838709677419355,62.0
0.43349753694581283,92,0.2894736842105263,0.8627450980392157,51.0
0.8343558282208589,93,0.7157894736842105,1.0,68.0
0.9150943396226415,94,0.8838268792710706,0.9486552567237164,409.0
0.12634601579325197,95,0.06743295019157088,1.0,88.0
0.8202247191011236,96,0.6952380952380952,1.0,73.0
0.3024418946749044,97,0.1792189679218968,0.967984934086629,531.0
0.20159151193633953,98,0.11377245508982035,0.8837209302325582,43.0
0.24202127659574468,99,0.13871951219512196,0.9479166666666666,96.0
0.7326513817946592,macro avg,0.7322246398725034,0.7978665544061693,33704.0
0.7715335569324255,weighted avg,0.8780261075275413,0.7569131260384524,33704.0
