dataset,setting_type,k,metric,comparison_family,comparison_label,method_a,method_b,n_pairs,seeds,mean_a,mean_b,mean_difference_a_minus_b,percent_improvement,ci95_low_difference,ci95_high_difference,cohens_dz
az_class,ablation,100,final_taskwise_average_accuracy,main_ablation_reference,hybrid_random_buffer vs real_buffer_only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.7129473423550008,0.6182264901486836,0.09472085220631718,15.321383621645982,0.06930428104996227,0.1201374233626721,4.627353994378475
az_class,ablation,100,forgetting,main_ablation_reference,hybrid_random_buffer vs real_buffer_only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.12891016499330907,0.183044364624588,-0.05413419963127895,29.574360151597475,-0.09275760416507067,-0.015510795097487227,-1.7403045527725727
az_class,ablation,100,macro_f1,main_ablation_reference,hybrid_random_buffer vs real_buffer_only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.6404831115244924,0.5522603396107886,0.08822277191370376,15.974852001119583,0.06415408482472415,0.11229145900268336,4.551267765541931
az_class,ablation,100,balanced_accuracy,main_ablation_reference,hybrid_random_buffer vs real_buffer_only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.7959336956981928,0.7516389140112023,0.044294781686990484,5.893093194258216,0.03444897153791242,0.05414059183606855,5.586054869662651
az_class,ablation,100,old_class_accuracy,main_ablation_reference,hybrid_random_buffer vs real_buffer_only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.6743425697823894,0.5738355747241142,0.10050699505827514,17.514946699949103,0.07531518498906092,0.12569880512748935,4.953828922519997
az_class,ablation,100,new_class_accuracy,main_ablation_reference,hybrid_random_buffer vs real_buffer_only,hybrid_random_buffer,real_buffer_only,5,"42,43,44,45,46",0.7388623782823497,0.6971303476275922,0.04173203065475749,5.986259355481509,-0.005273013516630336,0.08873707482614532,1.1023744568139255
az_class,ablation,100,mean_acc_seen,main_ablation_reference,hybrid_random_buffer vs hybrid_diversity_buffer,hybrid_random_buffer,hybrid_diversity_buffer,5,"42,43,44,45,46",0.733612271481358,0.6710760554931986,0.06253621598815944,9.318797098519514,0.05276544784202063,0.07230698413429824,7.947068932044746
az_class,ablation,100,final_taskwise_average_accuracy,main_ablation_reference,hybrid_random_buffer vs hybrid_diversity_buffer,hybrid_random_buffer,hybrid_diversity_buffer,5,"42,43,44,45,46",0.7129473423550008,0.6342210366150113,0.07872630573998955,12.413070711146789,0.044431508565723345,0.11302110291425577,2.8503337999700213
az_class,ablation,100,forgetting,main_ablation_reference,hybrid_random_buffer vs hybrid_diversity_buffer,hybrid_random_buffer,hybrid_diversity_buffer,5,"42,43,44,45,46",0.12891016499330907,0.20996095951517443,-0.08105079452186534,38.60279297114167,-0.11774251735152527,-0.044359071692205404,-2.7427944457887365
az_class,ablation,100,macro_f1,main_ablation_reference,hybrid_random_buffer vs hybrid_diversity_buffer,hybrid_random_buffer,hybrid_diversity_buffer,5,"42,43,44,45,46",0.6404831115244924,0.554252600589556,0.08623051093493639,15.5579803943569,0.07533006362890807,0.09713095824096471,9.822470396734413
az_class,ablation,100,balanced_accuracy,main_ablation_reference,hybrid_random_buffer vs hybrid_diversity_buffer,hybrid_random_buffer,hybrid_diversity_buffer,5,"42,43,44,45,46",0.7959336956981928,0.745711519924931,0.0502221757732618,6.734799507766431,0.042519328071634284,0.05792502347488932,8.0955862019633
az_class,ablation,100,old_class_accuracy,main_ablation_reference,hybrid_random_buffer vs hybrid_diversity_buffer,hybrid_random_buffer,hybrid_diversity_buffer,5,"42,43,44,45,46",0.6743425697823894,0.5679209091157483,0.10642166066664105,18.73881714134092,0.09194105142674115,0.12090226990654095,9.125302843938853
az_class,ablation,100,new_class_accuracy,main_ablation_reference,hybrid_random_buffer vs hybrid_diversity_buffer,hybrid_random_buffer,hybrid_diversity_buffer,5,"42,43,44,45,46",0.7388623782823497,0.7519264080655375,-0.013064029783187802,-1.7374080286390363,-0.059278645223425484,0.033150585657049876,-0.3509957899405729
az_class,ablation,100,mmd_real_generated,main_ablation_reference,hybrid_random_buffer vs hybrid_diversity_buffer,hybrid_random_buffer,hybrid_diversity_buffer,5,"42,43,44,45,46",0.002566123008728,0.00336108207702634,-0.0007949590682983399,23.65187906989961,-0.002243298925690293,0.000653380789093613,-0.6815196378901642
