dataset,seed,old_task,acquisition_accuracy,best_pre_final_accuracy,stage_of_best_pre_final_accuracy,final_accuracy,forgetting_contribution_manuscript,historical_contribution,final80_contribution
az_class,45,5,0.779507,0.779507,5,0.629053,0.15045399999999998,0.15045399999999998,0.15045399999999998
az_class,45,6,0.789543,0.789543,6,0.674057,0.11548599999999998,0.11548599999999998,0.11548599999999998
az_class,45,7,0.987398,0.989918,8,0.977946,0.011971999999999983,0.011971999999999983,0.011971999999999983
az_class,45,8,0.670569,0.670569,8,0.574415,0.09615399999999996,0.09615399999999996,0.09615399999999996
az_class,45,9,0.427992,0.427992,9,0.380663,0.04732900000000001,0.04732900000000001,0.04732900000000001
az_class,45,10,0.74321,0.74321,10,0.652469,0.09074100000000007,0.09074100000000007,0.09074100000000007
az_class,46,1,0.837112,0.837112,1,0.707201,0.129911,0.129911,0.129911
az_class,46,2,0.729297,0.729297,2,0.520481,0.208816,0.208816,0.208816
az_class,46,3,0.952113,0.952113,3,0.901408,0.050705,0.050705,0.050705
az_class,46,4,0.849566,0.864031,5,0.803279,0.06075200000000003,0.06075200000000003,0.06075200000000003
az_class,46,5,0.86722,0.86722,5,0.762102,0.10511800000000004,0.10511800000000004,0.10511800000000004
az_class,46,6,0.850379,0.909091,8,0.839015,0.07007600000000003,0.07007600000000003,0.07007600000000003
az_class,46,7,0.713385,0.713385,7,0.606167,0.10721800000000004,0.10721800000000004,0.10721800000000004
az_class,46,8,0.911624,0.917994,9,0.915605,0.0023889999999999745,0.0023889999999999745,0.0023889999999999745
az_class,46,9,0.809821,0.809821,9,0.680816,0.12900500000000004,0.12900500000000004,0.12900500000000004
az_class,46,10,0.910145,0.910145,10,0.892754,0.017390999999999934,0.017390999999999934,0.017390999999999934
az_class,47,1,0.858247,0.858247,1,0.709544,0.14870300000000003,0.14870300000000003,0.14870300000000003
az_class,47,2,0.940072,0.940072,2,0.769675,0.17039700000000002,0.17039700000000002,0.17039700000000002
az_class,47,3,0.935659,0.935659,3,0.85814,0.077519,0.077519,0.077519
az_class,47,4,0.698378,0.698378,4,0.59292,0.10545800000000005,0.10545800000000005,0.10545800000000005
az_class,47,5,0.827141,0.827141,5,0.747173,0.07996800000000004,0.07996800000000004,0.07996800000000004
az_class,47,6,0.715092,0.715092,6,0.533145,0.18194699999999997,0.18194699999999997,0.18194699999999997
az_class,47,7,0.937898,0.937898,7,0.818471,0.11942700000000006,0.11942700000000006,0.11942700000000006
az_class,47,8,0.728854,0.728854,8,0.624506,0.104348,0.104348,0.104348
az_class,47,9,0.795357,0.795357,9,0.753224,0.042132999999999976,0.042132999999999976,0.042132999999999976
az_class,47,10,0.665037,0.665037,10,0.628362,0.03667500000000001,0.03667500000000001,0.03667500000000001
az_class,48,1,0.835603,0.835603,1,0.694981,0.14062200000000002,0.14062200000000002,0.14062200000000002
az_class,48,2,0.67437,0.67437,2,0.471639,0.20273100000000005,0.20273100000000005,0.20273100000000005
az_class,48,3,0.948407,0.948407,3,0.875569,0.07283799999999996,0.07283799999999996,0.07283799999999996
az_class,48,4,0.841738,0.852599,5,0.785105,0.06749399999999994,0.06749399999999994,0.06749399999999994
az_class,48,5,0.871674,0.871674,5,0.841941,0.0297329999999999,0.0297329999999999,0.0297329999999999
az_class,48,6,0.846336,0.851064,8,0.79669,0.05437400000000003,0.05437400000000003,0.05437400000000003
az_class,48,7,0.823741,0.823741,7,0.719424,0.104317,0.104317,0.104317
az_class,48,8,0.546305,0.588177,9,0.544335,0.04384199999999994,0.04384199999999994,0.04384199999999994
az_class,48,9,0.802974,0.802974,9,0.783922,0.019051999999999958,0.019051999999999958,0.019051999999999958
az_class,48,10,0.910188,0.910188,10,0.899464,0.010723999999999956,0.010723999999999956,0.010723999999999956
az_class,49,1,0.86105,0.86105,1,0.722726,0.138324,0.138324,0.138324
az_class,49,2,0.856642,0.856642,2,0.701885,0.15475700000000003,0.15475700000000003,0.15475700000000003
az_class,49,3,0.655118,0.667717,10,0.573228,0.09448900000000005,0.09448900000000005,0.09448900000000005
az_class,49,4,0.902273,0.918182,6,0.914773,0.0034090000000001064,0.0034090000000001064,0.0034090000000001064
az_class,49,5,0.762712,0.762712,5,0.576271,0.18644099999999997,0.18644099999999997,0.18644099999999997
az_class,49,6,0.905983,0.905983,6,0.696193,0.20979000000000003,0.20979000000000003,0.20979000000000003
az_class,49,7,0.82202,0.82202,7,0.724746,0.09727399999999997,0.09727399999999997,0.09727399999999997
az_class,49,8,0.879587,0.879587,8,0.753823,0.125764,0.125764,0.125764
az_class,49,9,0.649889,0.649889,9,0.58573,0.06415900000000008,0.06415900000000008,0.06415900000000008
az_class,49,10,0.608536,0.608536,10,0.629139,-0.020603000000000038,-0.020603000000000038,0.0
az_class,50,1,0.891905,0.891905,1,0.785753,0.10615199999999991,0.10615199999999991,0.10615199999999991
az_class,50,2,0.672455,0.672455,2,0.581689,0.09076600000000001,0.09076600000000001,0.09076600000000001
az_class,50,3,0.789777,0.789777,3,0.649388,0.14038899999999999,0.14038899999999999,0.14038899999999999
az_class,50,4,0.936054,0.936054,4,0.739951,0.19610300000000003,0.19610300000000003,0.19610300000000003
az_class,50,5,0.949907,0.949907,5,0.935065,0.01484199999999991,0.01484199999999991,0.01484199999999991
az_class,50,6,0.740991,0.740991,6,0.614865,0.12612599999999996,0.12612599999999996,0.12612599999999996
az_class,50,7,0.82716,0.851852,8,0.842593,0.009259000000000017,0.009259000000000017,0.009259000000000017
az_class,50,8,0.68166,0.68166,8,0.593918,0.0877420000000001,0.0877420000000001,0.0877420000000001
az_class,50,9,0.658571,0.658571,9,0.682857,-0.02428600000000003,-0.02428600000000003,0.0
az_class,50,10,0.719187,0.719187,10,0.566709,0.152478,0.152478,0.152478
az_class,51,1,0.806686,0.806686,1,0.677471,0.12921499999999997,0.12921499999999997,0.12921499999999997
az_class,51,2,0.829822,0.829822,2,0.485413,0.34440899999999997,0.34440899999999997,0.34440899999999997
az_class,51,3,0.949645,0.949645,3,0.894326,0.05531900000000001,0.05531900000000001,0.05531900000000001
az_class,51,4,0.963519,0.963519,4,0.946352,0.017167000000000043,0.017167000000000043,0.017167000000000043
az_class,51,5,0.852596,0.852596,5,0.70268,0.14991600000000005,0.14991600000000005,0.14991600000000005
