dataset,seed,variant,source_provenance,forgetting_corrected_fraction,forgetting_corrected_percent,formula,matrix_orientation
ember,51,full_hybrid,HISTORICAL_REUSED,0.09304050000000003,9.304050000000002,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,42,generated_only,HISTORICAL_REUSED,0.5920164,59.20164,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,43,generated_only,HISTORICAL_REUSED,0.5815437,58.15437,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,44,generated_only,HISTORICAL_REUSED,0.5234829999999999,52.348299999999995,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,45,generated_only,HISTORICAL_REUSED,0.5736478999999999,57.364789999999985,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,46,generated_only,HISTORICAL_REUSED,0.6490999,64.90999,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,47,generated_only,NEW_STANDARD_A_T4,0.5815070737936161,58.15070737936161,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,48,generated_only,NEW_STANDARD_A_T4,0.5886754770092976,58.867547700929755,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,49,generated_only,NEW_STANDARD_A_T4,0.5219598019253786,52.19598019253786,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,50,generated_only,NEW_STANDARD_A_T4,0.7987651864362804,79.87651864362803,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
ember,51,generated_only,NEW_STANDARD_A_T4,0.529750494676671,52.9750494676671,mean(max(stage=task..10_pre-final)-final) over tasks 1..10,rows=post-training stages; columns=evaluation tasks
