dataset,method,seed,source_class_order,support_source,task_supports,full_test_support,all_100_classes_once,schedule_valid,matches_v15_4_supports
EMBER,DER++ (standard),51,historical_outputs/derpp/ember/seed_51/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[18145, 2619, 3347, 1164, 1939, 420, 872, 2655, 967, 780, 796]",33704,true,true,true
EMBER,protocol-matched adapted MalCL baseline,51,historical_outputs/adapted_malcl/ember/seed_51/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[18145, 2619, 3347, 1164, 1939, 420, 872, 2655, 967, 780, 796]",33704,true,true,true
EMBER,AHR-MalCL-HR (hybrid_random_buffer),51,deterministic: numpy.random.RandomState(seed).permutation(100),deterministic: numpy.random.RandomState(seed).permutation(100),"[18145, 2619, 3347, 1164, 1939, 420, 872, 2655, 967, 780, 796]",33704,true,true,true
AZ-Class,ER (standard),42,historical_outputs/er/az_class/seed_42/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[11387, 1804, 1458, 2602, 2262, 1267, 2117, 2764, 261, 1185, 1452]",28559,true,true,true
AZ-Class,DER++ (standard),42,historical_outputs/derpp/az_class/seed_42/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[11387, 1804, 1458, 2602, 2262, 1267, 2117, 2764, 261, 1185, 1452]",28559,true,true,true
AZ-Class,protocol-matched adapted MalCL baseline,42,historical_outputs/adapted_malcl/az_class/seed_42/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[11387, 1804, 1458, 2602, 2262, 1267, 2117, 2764, 261, 1185, 1452]",28559,true,true,true
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),42,deterministic: numpy.random.RandomState(seed).permutation(100),deterministic: numpy.random.RandomState(seed).permutation(100),"[11387, 1804, 1458, 2602, 2262, 1267, 2117, 2764, 261, 1185, 1452]",28559,true,true,true
AZ-Class,ER (standard),43,historical_outputs/er/az_class/seed_43/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[15911, 1975, 1178, 1435, 2385, 414, 2731, 1192, 617, 460, 261]",28559,true,true,true
AZ-Class,DER++ (standard),43,historical_outputs/derpp/az_class/seed_43/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[15911, 1975, 1178, 1435, 2385, 414, 2731, 1192, 617, 460, 261]",28559,true,true,true
AZ-Class,protocol-matched adapted MalCL baseline,43,historical_outputs/adapted_malcl/az_class/seed_43/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[15911, 1975, 1178, 1435, 2385, 414, 2731, 1192, 617, 460, 261]",28559,true,true,true
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),43,deterministic: numpy.random.RandomState(seed).permutation(100),deterministic: numpy.random.RandomState(seed).permutation(100),"[15911, 1975, 1178, 1435, 2385, 414, 2731, 1192, 617, 460, 261]",28559,true,true,true
AZ-Class,ER (standard),44,historical_outputs/er/az_class/seed_44/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[16146, 1237, 1050, 260, 2254, 170, 2524, 1362, 719, 1260, 1577]",28559,true,true,true
AZ-Class,DER++ (standard),44,historical_outputs/derpp/az_class/seed_44/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[16146, 1237, 1050, 260, 2254, 170, 2524, 1362, 719, 1260, 1577]",28559,true,true,true
AZ-Class,protocol-matched adapted MalCL baseline,44,historical_outputs/adapted_malcl/az_class/seed_44/class_order.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[16146, 1237, 1050, 260, 2254, 170, 2524, 1362, 719, 1260, 1577]",28559,true,true,true
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),44,deterministic: numpy.random.RandomState(seed).permutation(100),deterministic: numpy.random.RandomState(seed).permutation(100),"[16146, 1237, 1050, 260, 2254, 170, 2524, 1362, 719, 1260, 1577]",28559,true,true,true
AZ-Class,ER (standard),45,historical_outputs/er/az_class/seed_45/full-result.json,deterministic: numpy.random.RandomState(seed).permutation(100),"[12277, 1725, 751, 425, 2313, 3022, 1587, 1196, 1479, 1620, 2164]",28559,true,true,true
