dataset,method,seed,stage,sw_seen_accuracy,tm_seen_accuracy,cumulative_test_support,observed_tasks,definition_version
AZ-Class,protocol-matched adapted MalCL baseline,49,3,52.94679226069247,43.453724507426024,15712,3,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,49,4,47.86644165863066,45.380298060827315,16592,4,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,49,5,46.740756571917075,37.67135132452608,18716,5,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,49,6,44.748287756836476,35.97208366436486,20003,6,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,49,7,37.510286184511294,32.13883141356859,21874,7,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,49,8,41.62106982441813,35.34219502665322,24490,8,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,49,9,40.23499885922884,31.766477515585773,26298,9,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,49,10,37.61073146038977,30.60076318745931,27657,10,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,49,11,38.84939948877762,31.870390571514772,28559,11,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,50,1,64.21183606812349,64.21183606812349,12859,1,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,50,2,58.5091320968427,51.84555907915818,14126,2,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,50,3,50.48662584595552,51.452049945344136,15515,3,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,50,4,52.39843795535351,46.03499339622127,17157,4,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,50,5,51.18105786618445,39.76503103305331,17696,5,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,50,6,44.3977296615514,30.674676332135476,19028,6,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,50,7,46.06758991318727,28.53995206494981,19352,7,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,50,8,45.173041894353375,27.866190585315852,22509,8,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,50,9,42.76358309276574,26.983087885962348,23209,9,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,50,10,36.679702776691435,23.561362679082833,25570,10,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,50,11,36.22325711684583,24.133211364098837,28559,11,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,51,1,49.46220930232558,49.46220930232558,13760,1,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,51,2,43.790849673202615,39.12936753232068,14994,2,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,51,3,45.69617166544745,49.26817956745011,16404,3,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,51,4,44.285714285714285,42.10820369327764,16870,4,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,51,5,44.61003219441271,45.35685802290613,19258,5,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,51,6,36.54319818112921,39.90654790002669,21112,6,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,51,7,39.05552855943809,41.43989622133159,22637,7,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,51,8,37.21112902559015,36.86830710927529,24189,8,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,51,9,33.458516957271506,34.22040227540253,26095,9,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,51,10,33.149941314553985,33.33586411441946,27264,10,V15.5
AZ-Class,protocol-matched adapted MalCL baseline,51,11,33.001855807276165,33.74411277114153,28559,11,V15.5
EMBER,protocol-matched adapted MalCL baseline,42,1,82.90763052208835,82.90763052208835,18675,1,V15.5
EMBER,protocol-matched adapted MalCL baseline,42,2,75.13159640819215,74.346819628463,22607,2,V15.5
EMBER,protocol-matched adapted MalCL baseline,42,3,72.12108731466228,63.16795275028163,24280,3,V15.5
EMBER,protocol-matched adapted MalCL baseline,42,4,71.56380921688688,54.32184104354785,24824,4,V15.5
EMBER,protocol-matched adapted MalCL baseline,42,5,68.73294038530005,43.408492245925565,25279,5,V15.5
EMBER,protocol-matched adapted MalCL baseline,42,6,66.94170056168895,40.89629125954602,25815,6,V15.5
EMBER,protocol-matched adapted MalCL baseline,42,7,65.46199984815124,43.676305369995724,26342,7,V15.5
EMBER,protocol-matched adapted MalCL baseline,42,8,64.18930463010422,39.495213508347945,29265,8,V15.5
EMBER,protocol-matched adapted MalCL baseline,42,9,60.168729257777365,34.94902228719521,32241,9,V15.5
EMBER,protocol-matched adapted MalCL baseline,42,10,58.09631004167554,34.09477863049604,32873,10,V15.5
EMBER,protocol-matched adapted MalCL baseline,42,11,56.49477806788512,32.3650961999563,33704,11,V15.5
EMBER,protocol-matched adapted MalCL baseline,43,1,72.34280599686731,72.34280599686731,22345,1,V15.5
EMBER,protocol-matched adapted MalCL baseline,43,2,69.98781761225202,54.38895874938851,22984,2,V15.5
EMBER,protocol-matched adapted MalCL baseline,43,3,68.86495998659237,50.86805685224009,23867,3,V15.5
EMBER,protocol-matched adapted MalCL baseline,43,4,65.6571450422546,46.44774786162434,26151,4,V15.5
EMBER,protocol-matched adapted MalCL baseline,43,5,64.27775581353556,47.80997724525215,27823,5,V15.5
EMBER,protocol-matched adapted MalCL baseline,43,6,63.39127976821426,43.14561699891826,28302,6,V15.5
EMBER,protocol-matched adapted MalCL baseline,43,7,59.65009992464698,41.642442954950496,30523,7,V15.5
EMBER,protocol-matched adapted MalCL baseline,43,8,56.76686879112373,39.09664015307507,31004,8,V15.5
EMBER,protocol-matched adapted MalCL baseline,43,9,57.8322385042951,41.02619826152729,31664,9,V15.5
EMBER,protocol-matched adapted MalCL baseline,43,10,57.15110098709187,42.60100072675545,32925,10,V15.5
EMBER,protocol-matched adapted MalCL baseline,43,11,58.14146688820318,42.898124312665985,33704,11,V15.5
EMBER,protocol-matched adapted MalCL baseline,44,1,82.31695411649854,82.31695411649854,15365,1,V15.5
EMBER,protocol-matched adapted MalCL baseline,44,2,77.47387146986881,71.41720237717884,17988,2,V15.5
EMBER,protocol-matched adapted MalCL baseline,44,3,73.14422733534003,63.446120813829175,19601,3,V15.5
EMBER,protocol-matched adapted MalCL baseline,44,4,66.99333927283526,59.539918377852466,23571,4,V15.5
EMBER,protocol-matched adapted MalCL baseline,44,5,67.24472471501333,62.25039533950481,24738,5,V15.5
EMBER,protocol-matched adapted MalCL baseline,44,6,62.21100809764112,52.62068348229468,25563,6,V15.5
EMBER,protocol-matched adapted MalCL baseline,44,7,62.55037095620081,57.425795320964156,26553,7,V15.5
EMBER,protocol-matched adapted MalCL baseline,44,8,59.51892346509672,53.15820022028359,29725,8,V15.5
