dataset,method,seed,aia,forgetting,bwt,task_acquisition,final_old_task_accuracy,final_new_task_accuracy,matrix_source,support_source,definition_version,sw_aia,tm_aia,final_sample_weighted_seen_accuracy,final_task_macro_accuracy
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),42,75.85797391562461,9.87489,-9.87489,81.81591818181818,70.87836442616297,42.355399999999996,anchored_hr__az_class__seed_42.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,75.85797391562461,79.84973045618523,69.42819655099967,72.83874545454545
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),43,74.93004578947047,7.792500000000005,-7.768350000000004,81.8131090909091,71.22412385680968,90.0383,anchored_hr__az_class__seed_43.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,74.93004578947046,76.0470251721763,71.3960661507756,74.75097272727272
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),44,76.72197748226635,7.50348,-7.327509999999999,81.45761818181818,70.82498686902379,79.962,anchored_hr__az_class__seed_44.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,76.72197748226635,81.3970011163584,71.32952378234532,74.79624545454546
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),45,77.41134386216817,8.188270000000001,-7.880719999999999,80.4578818181818,70.84677127865125,81.2847,anchored_hr__az_class__seed_45.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,77.41134386216817,81.52725081136035,71.63768404706047,73.29359090909091
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),46,73.89551937768464,8.813810000000002,-8.018340000000002,83.17893636363638,70.92555891836435,71.9021,anchored_hr__az_class__seed_46.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,73.89551937768464,77.99655964056144,70.96888247837809,75.88953636363637
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),47,76.68362328204599,10.665750000000001,-10.665750000000001,81.18735454545457,70.77025245621846,82.8874,anchored_hr__az_class__seed_47.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,76.683623282046,77.82851073297915,71.45207801393606,71.49121818181818
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),48,74.82939070311363,7.457269999999997,-6.882659999999998,82.68544545454546,70.24468588385683,99.4063,anchored_hr__az_class__seed_48.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,74.82939070311362,76.25825300800209,71.44856357715607,76.42848181818184
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),49,76.04804615229259,10.538040000000004,-10.25296,79.95602727272728,70.07268348338576,89.1353,anchored_hr__az_class__seed_49.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,76.0480461522926,75.62933832808605,70.67475218670121,70.63515454545454
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),50,79.20645017561871,8.995709999999999,-8.748789999999998,78.08466363636364,71.3531348689871,72.16460000000001,anchored_hr__az_class__seed_50.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,79.20645017561873,76.48100401580743,71.43806323750832,70.13121818181818
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),51,73.49274929425043,11.761430000000002,-11.09258,84.93312727272729,69.76599216549296,90.3475,anchored_hr__az_class__seed_51.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,73.49274929425043,78.13319729666799,70.69925497741518,74.84896363636365
EMBER,AHR-MalCL-HR (hybrid_random_buffer),42,84.6862872211187,9.56485,-9.56485,86.87138181818183,79.69459869801966,85.07820000000001,anchored_hr__ember__seed_42.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,84.68628722111872,82.38942873966943,79.82733584144316,78.17606363636365
EMBER,AHR-MalCL-HR (hybrid_random_buffer),43,83.12392196482901,8.128589999999999,-7.9877400000000005,88.27690909090909,79.63250370539104,74.5828,anchored_hr__ember__seed_43.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,83.12392196482901,84.1622076272465,79.51578998635178,81.01532727272726
EMBER,AHR-MalCL-HR (hybrid_random_buffer),44,84.08963710233952,9.589830000000001,-9.5777,87.24605454545457,78.6608335827635,82.6667,anchored_hr__ember__seed_44.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,84.08963710233951,82.90873793486817,78.98174028008543,78.53905454545455
EMBER,AHR-MalCL-HR (hybrid_random_buffer),45,83.40414089451961,7.573540000000002,-7.573540000000002,88.23244545454546,80.09324381846635,74.7597,anchored_hr__ember__seed_45.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,83.40414089451961,84.49852137839433,79.71455967540943,81.34740909090911
EMBER,AHR-MalCL-HR (hybrid_random_buffer),46,83.19592288676635,7.06598,-7.06598,86.1658909090909,78.9409576777771,93.5374,anchored_hr__ember__seed_46.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,83.19592288676635,84.13861109208972,79.3229319873012,79.74227272727272
EMBER,AHR-MalCL-HR (hybrid_random_buffer),47,81.04228970888504,10.137730000000001,-10.00673,85.23398181818182,77.40623283213868,92.99,anchored_hr__ember__seed_47.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,81.04228970888505,75.04683786632559,79.12116852005697,76.13695454545456
EMBER,AHR-MalCL-HR (hybrid_random_buffer),48,81.18431556540267,12.51642,-12.51642,87.80870909090909,77.1457200837521,96.7307,anchored_hr__ember__seed_48.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,81.18431556540268,80.19960595041321,79.38523208817945,76.43014545454545
EMBER,AHR-MalCL-HR (hybrid_random_buffer),49,81.3899998467275,7.06002,-7.0509,87.92557272727272,78.24571340835517,94.3262,anchored_hr__ember__seed_49.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,81.3899998467275,82.39270186737505,78.8511649121766,81.51566363636366
EMBER,AHR-MalCL-HR (hybrid_random_buffer),50,84.12668767835557,11.29419,-11.29419,86.01910000000001,78.85146102357359,81.7355,anchored_hr__ember__seed_50.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,84.12668767835557,82.04927346156369,78.95500028186567,75.75165454545453
EMBER,AHR-MalCL-HR (hybrid_random_buffer),51,84.22754201890953,9.304050000000002,-9.042140000000003,87.09240909090909,78.13599766622097,94.3467,anchored_hr__ember__seed_51.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,84.22754201890952,83.97974695461104,78.5188518988844,78.8722818181818
AZ-Class,DER++ (standard),42,71.45792607901468,25.265701626741166,-25.265701626741166,96.43307484113592,69.0116943962814,90.97796143250689,derpp__az_class__seed_42.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,71.45792607901468,76.76390308149612,70.12850590006653,73.46425518046212
AZ-Class,DER++ (standard),43,76.44996280008617,23.94665587245522,-23.94665587245522,95.95531241524783,71.62697010389427,95.40229885057471,derpp__az_class__seed_43.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,76.44996280008618,78.83928848275816,71.84425224972864,74.18562525847037
AZ-Class,DER++ (standard),44,78.58217806153006,22.181356056115114,-21.475473703173936,95.69171111539204,73.87888221777482,99.11223842739378,derpp__az_class__seed_44.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,78.58217806153006,82.89611772410579,75.27224342589027,76.16855320341574
AZ-Class,DER++ (standard),45,74.71056190216214,39.144294118207924,-39.144294118207924,96.73610676672929,60.71604470543663,98.2902033271719,derpp__az_class__seed_45.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,74.71056190216215,80.49469737868438,63.563149970237056,61.15038484108572
AZ-Class,DER++ (standard),46,74.12496023376899,17.881296496784778,-17.881296496784778,96.52683720779568,73.08002345009527,97.39542225730071,derpp__az_class__seed_46.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,74.12496023376899,80.041813004462,74.15875906019119,80.27111311980953
AZ-Class,DER++ (standard),47,79.05478026377683,24.602013899679996,-24.602013899679996,96.84464812389231,71.77574948055803,98.38207840696951,derpp__az_class__seed_47.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,79.05478026377683,82.07899016404713,73.27287370005952,74.47918094236505
AZ-Class,DER++ (standard),48,76.9188007099606,16.23243401264742,-16.23243401264742,96.30025707679316,75.47479912344777,99.57591178965225,derpp__az_class__seed_48.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,76.9188007099606,80.0832556913109,76.46976434749115,81.54349888347731
AZ-Class,DER++ (standard),49,71.98962380481227,22.232255165369256,-22.232255165369256,97.16441364043227,74.7875763821094,96.45232815964523,derpp__az_class__seed_49.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,71.98962380481227,75.14533481962411,75.47183024615708,76.95327258100569
AZ-Class,DER++ (standard),50,77.29440028942498,42.04394269928752,-42.04394269928752,96.78828810500036,57.24677356276887,98.39411174305788,derpp__az_class__seed_50.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,77.29440028942497,76.53626959201868,61.553275674918595,58.56652201473898
AZ-Class,DER++ (standard),51,75.82131137753332,19.189056230002983,-19.189056230002983,97.4885353431826,74.84595070422534,98.996138996139,derpp__az_class__seed_51.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,75.82131137753332,81.55336837365292,75.94103434994223,80.04393877045263
EMBER,DER++ (standard),42,83.89678060092618,15.820962018537488,-15.820962018537488,94.49782103884488,76.33316095275758,96.26955475330927,derpp__ember__seed_42.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,83.89678060092616,83.23556187173634,76.82470923332542,80.11512829471988
EMBER,DER++ (standard),43,84.9013833758136,14.698128339114614,-14.698128339114614,95.96895163963502,81.16628701594533,93.45314505776636,derpp__ember__seed_43.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,84.90138337581362,86.55265756048146,81.45027296463327,82.60701678589446
EMBER,DER++ (standard),44,84.42628767044678,15.944701579844544,-15.944701579844544,96.15413350465656,80.83795639272353,97.37037037037038,derpp__ember__seed_44.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,84.42628767044677,84.76444493542967,82.16235461666271,81.65895025025243
EMBER,DER++ (standard),45,85.38010416619464,11.134074613527964,-11.134074613527964,95.45106091958732,82.19794960237617,97.7852068533222,derpp__ember__seed_45.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,85.38010416619464,87.02926325630405,83.30465226679325,85.32917490728916
EMBER,DER++ (standard),46,84.3378381382114,14.704209157046805,-14.704209157046805,94.83703474074382,83.89799524709036,96.5986394557823,derpp__ember__seed_46.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,84.3378381382114,85.05942099739515,84.23035841443152,81.46957187070126
EMBER,DER++ (standard),47,83.12694019069386,16.116382955856288,-16.116382955856288,95.33634679643218,82.66377729621604,98.97546508492854,derpp__ember__seed_47.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,83.12694019069386,78.518504520721,84.45881794445764,80.68508956383556
EMBER,DER++ (standard),48,84.19796081855328,17.621149655851546,-17.621149655851546,95.44511258557303,81.6214405360134,98.7026466009341,derpp__ember__seed_48.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,84.19796081855328,83.13490243215652,83.57464989318774,79.42588562570798
EMBER,DER++ (standard),49,83.16666973604246,12.337658273725438,-12.337658273725438,95.26640957903858,83.033759827347,98.42395587076437,derpp__ember__seed_49.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,83.16666973604248,84.59326260318426,83.61322098267267,84.05035660292452
EMBER,DER++ (standard),50,84.44668204159196,16.504678044116794,-16.504678044116794,95.04086910527285,82.57216716932356,93.63636363636364,derpp__ember__seed_50.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,84.44668204159196,83.16865382309862,82.96938048896273,80.03661633789393
EMBER,DER++ (standard),51,83.72109159585158,18.15170371011806,-18.15170371011806,95.86540429428449,81.02892913577246,96.60804020100502,derpp__ember__seed_51.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,83.72109159585156,84.36770191713843,81.39686684073108,79.36385546690443
AZ-Class,ER (standard),42,72.45678423184496,25.75123090458175,-25.75123090458175,96.41249377685148,68.0709779761685,90.77134986225896,er__az_class__seed_42.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,72.45678423184495,77.4087335053165,69.22511292412199,73.00228386359534
AZ-Class,ER (standard),43,75.70229532888945,26.578120844018592,-26.578120844018592,96.24547091719467,70.58095978514383,95.78544061302682,er__az_class__seed_43.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,75.70229532888945,77.41498547299214,70.8113029167688,72.08354287717775
AZ-Class,ER (standard),44,77.58416107417622,22.709865825615687,-22.671404287154147,96.08189320844635,73.27477577644356,98.858592263792,er__az_class__seed_44.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,77.58416107417621,81.93643476506362,74.68748905774012,75.47152567466985
AZ-Class,ER (standard),45,75.58106218833316,32.20419201245595,-32.20419201245595,96.78938434916442,64.52358401212351,98.05914972273567,er__az_class__seed_45.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,75.58106218833316,81.11065510828531,67.06467313281277,67.51284615602265
AZ-Class,ER (standard),46,75.22211633563049,19.690447705429754,-19.690447705429754,96.70871909225862,72.12369925252821,97.94790844514601,er__az_class__seed_46.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,75.22211633563049,80.03297200083308,73.26937217689695,78.80831208732248
AZ-Class,ER (standard),47,78.60950594177758,26.099148743690332,-26.099148743690332,97.00194364625537,70.56990204808548,98.75544492843808,er__az_class__seed_47.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,78.60950594177758,81.17690628288034,72.15588781119787,73.27544478835505
AZ-Class,ER (standard),48,76.20761347978731,18.471635626426448,-18.471635626426448,96.59872908336894,74.86851716581447,99.66072943172179,er__az_class__seed_48.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,76.20761347978734,78.01922819854691,75.89201302566616,79.8063330593449
AZ-Class,ER (standard),49,75.04553037989292,24.4809462693874,-24.4809462693874,97.29644502813409,73.68116570850056,97.00665188470067,er__az_class__seed_49.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,75.04553037989291,76.68723542104175,74.4178717742218,75.041039328691
AZ-Class,ER (standard),50,78.12129724445953,31.229127475202134,-31.229127475202134,96.70522354534926,68.37309346890888,97.79190364670458,er__az_class__seed_50.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,78.12129724445951,76.71905046485408,71.45208165552015,68.31510765880185
AZ-Class,ER (standard),51,76.01437233221205,20.447935088645323,-20.447935088645323,97.571119418015,73.97300469483568,99.07335907335907,er__az_class__seed_51.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,76.01437233221205,81.031796669083,75.11117336041178,78.98208751924652
EMBER,ER (standard),42,83.08606346211415,18.345030910951525,-18.345030910951525,94.97007767890828,75.1589450308764,96.75090252707581,er__ember__seed_42.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,83.08606346211417,81.95644811155785,75.69131260384523,78.29277685077052
EMBER,ER (standard),43,84.23901972728264,16.429795494380294,-16.429795494380294,96.3961586450673,80.38572513287775,93.96662387676508,er__ember__seed_43.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,84.23901972728262,85.08366579685456,80.69962022311891,81.45998092290337
EMBER,ER (standard),44,83.96986871496452,17.032050644766436,-17.032050644766436,96.41349609739176,80.2735130950845,97.77777777777777,er__ember__seed_44.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,83.9698687149645,83.80838694217208,81.67576548777593,80.92981369305865
EMBER,ER (standard),45,84.88857442072309,12.249634422474038,-12.249634422474038,95.70492208371593,81.67097825045511,97.91057250313415,er__ember__seed_45.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,84.8885744207231,86.10418325099559,82.8239971516734,84.5688907905577
EMBER,ER (standard),46,83.78734734470875,16.387640319471902,-16.387640319471902,95.13110325716106,82.1126073974773,96.48526077097506,er__ember__seed_46.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,83.78734734470876,84.49109445587813,82.48872537384287,80.23324842127751
EMBER,ER (standard),47,82.44119003060437,17.422630067005546,-17.422630067005546,95.57694202181587,81.93365560926821,98.89458074952817,er__ember__seed_47.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,82.44119003060437,77.07499688168808,83.8001424163304,79.73818741544719
EMBER,ER (standard),48,83.38970325385208,19.029487653156917,-19.029487653156917,96.03957358954293,80.89112227805695,98.98806434872859,er__ember__seed_48.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,83.38970325385206,81.81238260711899,82.96047946831237,78.74003935940027
EMBER,ER (standard),49,83.40938212714758,13.384593305197798,-13.384593305197798,95.5348694891584,82.01942346230923,98.42395587076437,er__ember__seed_49.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,83.40938212714758,83.91912934666475,82.63707571801567,83.36705739352402
EMBER,ER (standard),50,83.8481702271679,18.22009973233445,-18.22009973233445,95.50948550107617,81.39041053732997,92.89256198347108,er__ember__seed_50.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,83.8481702271679,82.2781975383121,81.80334678376454,78.9457584716812
EMBER,ER (standard),51,83.24590258690954,17.091124228420135,-17.091124228420135,96.15639332827979,82.60301446456788,97.11055276381909,er__ember__seed_51.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.5,83.24590258690955,83.47248618691664,82.94564443389508,80.61900766607967
