dataset,method,seed,aia,forgetting,bwt,task_acquisition,final_old_task_accuracy,final_new_task_accuracy,matrix_source,support_source,definition_version
EMBER,protocol-matched adapted MalCL baseline,46,54.782091132983965,11.498841899808026,-11.319686330564648,47.300929077999314,48.339528365120955,31.405895691609974,adapted_malcl__ember__seed_46.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,protocol-matched adapted MalCL baseline,47,55.05866996655479,21.19188874330274,-21.069073019128783,45.72399213582268,35.18919819969995,80.53383661364249,adapted_malcl__ember__seed_47.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,protocol-matched adapted MalCL baseline,48,58.36934352390437,33.072868557996756,-32.61150993625865,56.081776417702855,35.19262981574539,96.49714582252206,adapted_malcl__ember__seed_48.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,protocol-matched adapted MalCL baseline,49,59.06979214684789,19.469842522509374,-18.54510353660852,62.33704339390221,52.3971018960999,82.03309692671394,adapted_malcl__ember__seed_49.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,protocol-matched adapted MalCL baseline,50,60.013235321673186,15.611685305715554,-15.543074671067181,52.10929809408608,52.71742475533945,25.950413223140494,adapted_malcl__ember__seed_50.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,protocol-matched adapted MalCL baseline,51,65.24277504947297,10.94162105899698,-9.925806232563968,56.526841629034486,59.034277379360645,47.48743718592965,adapted_malcl__ember__seed_51.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),42,75.85797391562461,9.87489,-9.87489,81.81591818181818,70.87836442616297,42.355399999999996,anchored_hr__az_class__seed_42.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),43,74.93004578947047,7.792500000000005,-7.768350000000004,81.8131090909091,71.22412385680968,90.0383,anchored_hr__az_class__seed_43.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),44,76.72197748226635,7.50348,-7.327509999999999,81.45761818181818,70.82498686902379,79.962,anchored_hr__az_class__seed_44.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),45,77.41134386216817,8.188270000000001,-7.880719999999999,80.4578818181818,70.84677127865125,81.2847,anchored_hr__az_class__seed_45.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),46,73.89551937768464,8.813810000000002,-8.018340000000002,83.17893636363638,70.92555891836435,71.9021,anchored_hr__az_class__seed_46.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),47,76.68362328204599,10.665750000000001,-10.665750000000001,81.18735454545457,70.77025245621846,82.8874,anchored_hr__az_class__seed_47.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),48,74.82939070311363,7.457269999999997,-6.882659999999998,82.68544545454546,70.24468588385683,99.4063,anchored_hr__az_class__seed_48.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),49,76.04804615229259,10.538040000000004,-10.25296,79.95602727272728,70.07268348338576,89.1353,anchored_hr__az_class__seed_49.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),50,79.20645017561871,8.995709999999999,-8.748789999999998,78.08466363636364,71.3531348689871,72.16460000000001,anchored_hr__az_class__seed_50.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,AHR-MalCL-HR (hybrid_random_buffer),51,73.49274929425043,11.761430000000002,-11.09258,84.93312727272729,69.76599216549296,90.3475,anchored_hr__az_class__seed_51.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,AHR-MalCL-HR (hybrid_random_buffer),42,84.6862872211187,9.56485,-9.56485,86.87138181818183,79.69459869801966,85.07820000000001,anchored_hr__ember__seed_42.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,AHR-MalCL-HR (hybrid_random_buffer),43,83.12392196482901,8.128589999999999,-7.9877400000000005,88.27690909090909,79.63250370539104,74.5828,anchored_hr__ember__seed_43.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,AHR-MalCL-HR (hybrid_random_buffer),44,84.08963710233952,9.589830000000001,-9.5777,87.24605454545457,78.6608335827635,82.6667,anchored_hr__ember__seed_44.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,AHR-MalCL-HR (hybrid_random_buffer),45,83.40414089451961,7.573540000000002,-7.573540000000002,88.23244545454546,80.09324381846635,74.7597,anchored_hr__ember__seed_45.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,AHR-MalCL-HR (hybrid_random_buffer),46,83.19592288676635,7.06598,-7.06598,86.1658909090909,78.9409576777771,93.5374,anchored_hr__ember__seed_46.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,AHR-MalCL-HR (hybrid_random_buffer),47,81.04228970888504,10.137730000000001,-10.00673,85.23398181818182,77.40623283213868,92.99,anchored_hr__ember__seed_47.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,AHR-MalCL-HR (hybrid_random_buffer),48,81.18431556540267,12.51642,-12.51642,87.80870909090909,77.1457200837521,96.7307,anchored_hr__ember__seed_48.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,AHR-MalCL-HR (hybrid_random_buffer),49,81.3899998467275,7.06002,-7.0509,87.92557272727272,78.24571340835517,94.3262,anchored_hr__ember__seed_49.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,AHR-MalCL-HR (hybrid_random_buffer),50,84.12668767835557,11.29419,-11.29419,86.01910000000001,78.85146102357359,81.7355,anchored_hr__ember__seed_50.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,AHR-MalCL-HR (hybrid_random_buffer),51,84.22754201890953,9.304050000000002,-9.042140000000003,87.09240909090909,78.13599766622097,94.3467,anchored_hr__ember__seed_51.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,DER++ (standard),42,71.45792607901468,25.265701626741166,-25.265701626741166,96.43307484113592,69.0116943962814,90.97796143250689,derpp__az_class__seed_42.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,DER++ (standard),43,76.44996280008617,23.94665587245522,-23.94665587245522,95.95531241524783,71.62697010389427,95.40229885057471,derpp__az_class__seed_43.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,DER++ (standard),44,78.58217806153006,22.181356056115114,-21.475473703173936,95.69171111539204,73.87888221777482,99.11223842739378,derpp__az_class__seed_44.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,DER++ (standard),45,74.71056190216214,39.144294118207924,-39.144294118207924,96.73610676672929,60.71604470543663,98.2902033271719,derpp__az_class__seed_45.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,DER++ (standard),46,74.12496023376899,17.881296496784778,-17.881296496784778,96.52683720779568,73.08002345009527,97.39542225730071,derpp__az_class__seed_46.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,DER++ (standard),47,79.05478026377683,24.602013899679996,-24.602013899679996,96.84464812389231,71.77574948055803,98.38207840696951,derpp__az_class__seed_47.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,DER++ (standard),48,76.9188007099606,16.23243401264742,-16.23243401264742,96.30025707679316,75.47479912344777,99.57591178965225,derpp__az_class__seed_48.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,DER++ (standard),49,71.98962380481227,22.232255165369256,-22.232255165369256,97.16441364043227,74.7875763821094,96.45232815964523,derpp__az_class__seed_49.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,DER++ (standard),50,77.29440028942498,42.04394269928752,-42.04394269928752,96.78828810500036,57.24677356276887,98.39411174305788,derpp__az_class__seed_50.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,DER++ (standard),51,75.82131137753332,19.189056230002983,-19.189056230002983,97.4885353431826,74.84595070422534,98.996138996139,derpp__az_class__seed_51.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,DER++ (standard),42,83.89678060092618,15.820962018537488,-15.820962018537488,94.49782103884488,76.33316095275758,96.26955475330927,derpp__ember__seed_42.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,DER++ (standard),43,84.9013833758136,14.698128339114614,-14.698128339114614,95.96895163963502,81.16628701594533,93.45314505776636,derpp__ember__seed_43.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,DER++ (standard),44,84.42628767044678,15.944701579844544,-15.944701579844544,96.15413350465656,80.83795639272353,97.37037037037038,derpp__ember__seed_44.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,DER++ (standard),45,85.38010416619464,11.134074613527964,-11.134074613527964,95.45106091958732,82.19794960237617,97.7852068533222,derpp__ember__seed_45.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,DER++ (standard),46,84.3378381382114,14.704209157046805,-14.704209157046805,94.83703474074382,83.89799524709036,96.5986394557823,derpp__ember__seed_46.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,DER++ (standard),47,83.12694019069386,16.116382955856288,-16.116382955856288,95.33634679643218,82.66377729621604,98.97546508492854,derpp__ember__seed_47.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,DER++ (standard),48,84.19796081855328,17.621149655851546,-17.621149655851546,95.44511258557303,81.6214405360134,98.7026466009341,derpp__ember__seed_48.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,DER++ (standard),49,83.16666973604246,12.337658273725438,-12.337658273725438,95.26640957903858,83.033759827347,98.42395587076437,derpp__ember__seed_49.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,DER++ (standard),50,84.44668204159196,16.504678044116794,-16.504678044116794,95.04086910527285,82.57216716932356,93.63636363636364,derpp__ember__seed_50.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,DER++ (standard),51,83.72109159585158,18.15170371011806,-18.15170371011806,95.86540429428449,81.02892913577246,96.60804020100502,derpp__ember__seed_51.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,ER (standard),42,72.45678423184496,25.75123090458175,-25.75123090458175,96.41249377685148,68.0709779761685,90.77134986225896,er__az_class__seed_42.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,ER (standard),43,75.70229532888945,26.578120844018592,-26.578120844018592,96.24547091719467,70.58095978514383,95.78544061302682,er__az_class__seed_43.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,ER (standard),44,77.58416107417622,22.709865825615687,-22.671404287154147,96.08189320844635,73.27477577644356,98.858592263792,er__az_class__seed_44.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,ER (standard),45,75.58106218833316,32.20419201245595,-32.20419201245595,96.78938434916442,64.52358401212351,98.05914972273567,er__az_class__seed_45.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,ER (standard),46,75.22211633563049,19.690447705429754,-19.690447705429754,96.70871909225862,72.12369925252821,97.94790844514601,er__az_class__seed_46.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,ER (standard),47,78.60950594177758,26.099148743690332,-26.099148743690332,97.00194364625537,70.56990204808548,98.75544492843808,er__az_class__seed_47.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,ER (standard),48,76.20761347978731,18.471635626426448,-18.471635626426448,96.59872908336894,74.86851716581447,99.66072943172179,er__az_class__seed_48.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,ER (standard),49,75.04553037989292,24.4809462693874,-24.4809462693874,97.29644502813409,73.68116570850056,97.00665188470067,er__az_class__seed_49.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,ER (standard),50,78.12129724445953,31.229127475202134,-31.229127475202134,96.70522354534926,68.37309346890888,97.79190364670458,er__az_class__seed_50.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
AZ-Class,ER (standard),51,76.01437233221205,20.447935088645323,-20.447935088645323,97.571119418015,73.97300469483568,99.07335907335907,er__az_class__seed_51.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,ER (standard),42,83.08606346211415,18.345030910951525,-18.345030910951525,94.97007767890828,75.1589450308764,96.75090252707581,er__ember__seed_42.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,ER (standard),43,84.23901972728264,16.429795494380294,-16.429795494380294,96.3961586450673,80.38572513287775,93.96662387676508,er__ember__seed_43.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,ER (standard),44,83.96986871496452,17.032050644766436,-17.032050644766436,96.41349609739176,80.2735130950845,97.77777777777777,er__ember__seed_44.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,ER (standard),45,84.88857442072309,12.249634422474038,-12.249634422474038,95.70492208371593,81.67097825045511,97.91057250313415,er__ember__seed_45.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,ER (standard),46,83.78734734470875,16.387640319471902,-16.387640319471902,95.13110325716106,82.1126073974773,96.48526077097506,er__ember__seed_46.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,ER (standard),47,82.44119003060437,17.422630067005546,-17.422630067005546,95.57694202181587,81.93365560926821,98.89458074952817,er__ember__seed_47.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,ER (standard),48,83.38970325385208,19.029487653156917,-19.029487653156917,96.03957358954293,80.89112227805695,98.98806434872859,er__ember__seed_48.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,ER (standard),49,83.40938212714758,13.384593305197798,-13.384593305197798,95.5348694891584,82.01942346230923,98.42395587076437,er__ember__seed_49.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,ER (standard),50,83.8481702271679,18.22009973233445,-18.22009973233445,95.50948550107617,81.39041053732997,92.89256198347108,er__ember__seed_50.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
EMBER,ER (standard),51,83.24590258690954,17.091124228420135,-17.091124228420135,96.15639332827979,82.60301446456788,97.11055276381909,er__ember__seed_51.json,TASK_TEST_SUPPORTS_V15_4.csv,V15.4
