dataset,method,seed,stage_id,sample_weighted_seen_accuracy,cumulative_seen_support,matrix_source,definition_version
EMBER,protocol-matched adapted MalCL baseline,44,9,56.00703781163895,30123,adapted_malcl__ember__seed_44.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,44,10,55.363824022706744,31004,adapted_malcl__ember__seed_44.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,44,11,36.12330880607643,33704,adapted_malcl__ember__seed_44.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,45,1,74.49234914830141,20782,adapted_malcl__ember__seed_45.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,45,2,72.11744935113434,21422,adapted_malcl__ember__seed_45.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,45,3,71.29064127896532,22268,adapted_malcl__ember__seed_45.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,45,4,67.27453994101276,24073,adapted_malcl__ember__seed_45.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,45,5,65.70672478206725,25696,adapted_malcl__ember__seed_45.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,45,6,64.04878604810213,26319,adapted_malcl__ember__seed_45.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,45,7,60.75071549130403,27254,adapted_malcl__ember__seed_45.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,45,8,60.642883812497885,29461,adapted_malcl__ember__seed_45.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,45,9,59.375308236067724,30415,adapted_malcl__ember__seed_45.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,45,10,59.241161253233685,31311,adapted_malcl__ember__seed_45.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,45,11,44.16686446712556,33704,adapted_malcl__ember__seed_45.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,46,1,65.23931000971818,16464,adapted_malcl__ember__seed_46.json,V15.4
EMBER,protocol-matched adapted MalCL baseline,46,2,65.28478352248844,19032,adapted_malcl__ember__seed_46.json,V15.4
