method,dataset,seed,final_taskwise_accuracy,mean_seen_accuracy,forgetting,macro_f1,weighted_f1,balanced_accuracy,final_task_macro_accuracy,final_sample_weighted_seen_accuracy,sw_aia,tm_aia,raw_result_source,raw_result_sha256,task_matrix_source,task_matrix_sha256,harmonized_metric_source,harmonized_metric_definition_version,classification_report_source,resource_measurement_source,diagnostic_source
AHR-MalCL-HR (hybrid_random_buffer),EMBER,47,76.13695404522505,81.04228970888504,10.137730000000001,71.52487533557654,80.22339115312742,79.24180164212403,76.13695454545456,79.12116852005697,81.04228970888505,75.04683786632559,historical_outputs/anchored_hr/ember/seed_47/full-result.json,8f8277db43fbb70d8b03b4bd2b847fbdffffd193a7b50964b30671b472174f48,task_matrices/anchored_hr__ember__seed_47.json,e52ff057f731cb322a24bc4e74cd4b989795f981e3bfc02add7628b4cfa0c7f8,task_matrices/anchored_hr__ember__seed_47.json,V15.5,historical_outputs/anchored_hr/ember/seed_47/full-result.json,historical_outputs/anchored_hr/ember/seed_47/full-result.json,historical_outputs/anchored_hr/ember/seed_47/full-result.json
ER (standard),EMBER,47,79.73818741544719,82.44119003060437,17.422630067005546,76.60870863912555,84.36328220046909,81.31227721850345,79.73818741544719,83.8001424163304,82.44119003060437,77.07499688168808,historical_outputs/er/ember/seed_47/full-result.json,d8eba01bb46ef6eae8cdc6436e73bae261b7d04442c5a243eb1c311adb8ae6d9,task_matrices/er__ember__seed_47.json,44431f83fc8b620a1796b796c4e11814a0857a8834dd7ff615bb860bca46bb50,task_matrices/er__ember__seed_47.json,V15.5,historical_outputs/er/ember/seed_47/full-result.json,historical_outputs/er/ember/seed_47/full-result.json,not_reported
DER++ (standard),EMBER,47,80.68508956383556,83.12694019069386,16.116382955856288,77.38296992362972,85.08313655232632,81.87252549923214,80.68508956383556,84.45881794445764,83.12694019069386,78.518504520721,historical_outputs/derpp/ember/seed_47/full-result.json,baf2bb4c04fe3ede7e02f9ce39af0f1632e2d05cc5eabd958f8efcbc4456e413,task_matrices/derpp__ember__seed_47.json,1b82f40bca9f5fb53690efbfbb142e554c3a9e08a1b85a999e59cc38fded0181,task_matrices/derpp__ember__seed_47.json,V15.5,historical_outputs/derpp/ember/seed_47/full-result.json,historical_outputs/derpp/ember/seed_47/full-result.json,not_reported
protocol-matched adapted MalCL baseline,EMBER,47,26.57028939116014,55.05866996655479,21.19188874330274,36.94344858955189,39.14549439869739,42.3130902918138,26.57028939116014,40.17920721576074,55.05866996655477,36.892736123283996,historical_outputs/adapted_malcl/ember/seed_47/full-result.json,6e4359ad003244e0a0e8890d0f4fca7b15552fd859e0a4d10212c9a65478fe28,task_matrices/adapted_malcl__ember__seed_47.json,c7bafedc2727ff218ba5c65d7402eac9364728cf0ca4665988dad0ac6dd8c978,task_matrices/adapted_malcl__ember__seed_47.json,V15.5,historical_outputs/adapted_malcl/ember/seed_47/full-result.json,historical_outputs/adapted_malcl/ember/seed_47/full-result.json,not_reported
AHR-MalCL-HR (hybrid_random_buffer),EMBER,48,76.43013651319698,81.18431556540267,12.51642,72.39063138918515,81.08527798955316,79.88477705834018,76.43014545454545,79.38523208817945,81.18431556540268,80.19960595041321,historical_outputs/anchored_hr/ember/seed_48/full-result.json,9d6fedcfa7c2017da382169dd96b857146522b12cac59a3427f80527dff22acd,task_matrices/anchored_hr__ember__seed_48.json,9cfe887328440efaba75ca3d12bd7c9a6164f2cc5aa9ad91b0177e6ee00989a1,task_matrices/anchored_hr__ember__seed_48.json,V15.5,historical_outputs/anchored_hr/ember/seed_48/full-result.json,historical_outputs/anchored_hr/ember/seed_48/full-result.json,historical_outputs/anchored_hr/ember/seed_48/full-result.json
ER (standard),EMBER,48,78.74003935940027,83.38970325385208,19.029487653156917,76.24271059272232,84.37069716680993,82.39941299467831,78.74003935940027,82.96047946831237,83.38970325385206,81.81238260711899,historical_outputs/er/ember/seed_48/full-result.json,97b0b8f229ba7859f3df6a4c62381bf74aa51a1eacff34cc2ed57c7ffa973118,task_matrices/er__ember__seed_48.json,43c78e4bbcc11d2ef8b27fa07f34cdb52af9e5ead66dd6bd4a0f37466386d27a,task_matrices/er__ember__seed_48.json,V15.5,historical_outputs/er/ember/seed_48/full-result.json,historical_outputs/er/ember/seed_48/full-result.json,not_reported
DER++ (standard),EMBER,48,79.42588562570798,84.19796081855328,17.621149655851546,76.67497484684921,84.91650915268951,82.58184152353283,79.42588562570798,83.57464989318774,84.19796081855328,83.13490243215652,historical_outputs/derpp/ember/seed_48/full-result.json,593cef344476b1ab71db1379fe07e6848c6d2975e3bf2501bd13c544d3d465dc,task_matrices/derpp__ember__seed_48.json,85813535d79d09f4884b82df95a854d72f0e536980e0033f4e45a5718c374ec5,task_matrices/derpp__ember__seed_48.json,V15.5,historical_outputs/derpp/ember/seed_48/full-result.json,historical_outputs/derpp/ember/seed_48/full-result.json,not_reported
protocol-matched adapted MalCL baseline,EMBER,48,26.43494920292227,58.36934352390437,33.072868557996756,38.073901135760956,42.92775560729113,46.36026448668981,26.43494920292227,42.20270591027771,58.36934352390438,51.88970316706061,historical_outputs/adapted_malcl/ember/seed_48/full-result.json,85cc4dc30c1ff9f3824720a7009c2e950750ae45286510cbd6a344aab71ec9ce,task_matrices/adapted_malcl__ember__seed_48.json,305948e7f536dedba7301d009d4260c2c60cf0709e2901cf78e559df50e2c84b,task_matrices/adapted_malcl__ember__seed_48.json,V15.5,historical_outputs/adapted_malcl/ember/seed_48/full-result.json,historical_outputs/adapted_malcl/ember/seed_48/full-result.json,not_reported
AHR-MalCL-HR (hybrid_random_buffer),EMBER,49,81.51566121728823,81.3899998467275,7.06002,72.31681417708658,80.61517820252878,79.65583074671163,81.51566363636366,78.8511649121766,81.3899998467275,82.39270186737505,historical_outputs/anchored_hr/ember/seed_49/full-result.json,f86fab224069096a88ffa50fc6b9361ea0ea5f2bf408826199d38df702301b2c,task_matrices/anchored_hr__ember__seed_49.json,f5ffa737091a30288d351a4eedc17eb5cfe0f0e2cad1fca9505a8d1b6745ce6e,task_matrices/anchored_hr__ember__seed_49.json,V15.5,historical_outputs/anchored_hr/ember/seed_49/full-result.json,historical_outputs/anchored_hr/ember/seed_49/full-result.json,historical_outputs/anchored_hr/ember/seed_49/full-result.json
ER (standard),EMBER,49,83.36705739352401,83.40938212714758,13.384593305197798,74.95718143039154,83.80470130044208,81.14663446724965,83.36705739352402,82.63707571801567,83.40938212714758,83.91912934666475,historical_outputs/er/ember/seed_49/full-result.json,a7d60b3a8e59acb01624c9f6507e3d55e077df66a9869f10443b68baa0aca29d,task_matrices/er__ember__seed_49.json,30df971658c0c65865164c19305092abbe1e380515e9f194790884cfe6384aa6,task_matrices/er__ember__seed_49.json,V15.5,historical_outputs/er/ember/seed_49/full-result.json,historical_outputs/er/ember/seed_49/full-result.json,not_reported
