dataset,seed,k_level,K,source_provenance,fidelity_classification,final_tm_accuracy,tm_aia,sw_aia,forgetting,bwt,acquisition,final_old_task_accuracy,final_new_task_accuracy,macro_f1,weighted_f1,balanced_accuracy,class_order_evidence,metric_unit
az_class,42,LOW,100,HISTORICAL_REUSED,LIKELY_COMPATIBLE_WITH_RECONSTRUCTED_EVIDENCE,0.7010944545454545,0.7761365917912895,0.7359395101718248,0.13057649999999998,-0.13057649999999998,0.8198003636363637,0.7302259,0.40978,0.6392906682138242,0.6800648040038783,0.7913255209379014,INFERRED_FROM_SEEDED_PROTOCOL,fraction
az_class,43,LOW,100,HISTORICAL_REUSED,LIKELY_COMPATIBLE_WITH_RECONSTRUCTED_EVIDENCE,0.7125497272727273,0.7453391995572609,0.7244350723454883,0.1451838,-0.1451838,0.844535,0.692617,0.911877,0.6382120257585772,0.6845952355438295,0.796135340080347,INFERRED_FROM_SEEDED_PROTOCOL,fraction
az_class,44,LOW,100,HISTORICAL_REUSED,LIKELY_COMPATIBLE_WITH_RECONSTRUCTED_EVIDENCE,0.7242228181818182,0.7926324052243211,0.742071441400832,0.1195106,-0.1195106,0.8328688181818182,0.7138296000000001,0.828155,0.6454292751772478,0.6842189210633007,0.8002880430659638,INFERRED_FROM_SEEDED_PROTOCOL,fraction
az_class,45,LOW,100,HISTORICAL_REUSED,LIKELY_COMPATIBLE_WITH_RECONSTRUCTED_EVIDENCE,0.7013977272727273,0.7915418577102191,0.7511490288738685,0.1192058,-0.1192058,0.8097666363636363,0.6883581999999999,0.831793,0.656932308842058,0.68913304960436,0.7978467596171716,INFERRED_FROM_SEEDED_PROTOCOL,fraction
az_class,46,LOW,100,HISTORICAL_REUSED,LIKELY_COMPATIBLE_WITH_RECONSTRUCTED_EVIDENCE,0.7254719090909091,0.7594846993473698,0.7144663251863529,0.13007439999999998,-0.13007439999999998,0.8437213636363636,0.7267484,0.712707,0.6225512796307549,0.6749892927912967,0.7940728147895803,INFERRED_FROM_SEEDED_PROTOCOL,fraction
az_class,42,MAIN,200,HISTORICAL_REUSED,EXACTLY_COMPATIBLE,0.7283874545454545,0.7984973045618523,0.7585797391562461,0.0987489,-0.0987489,0.8181591818181818,0.7588708000000001,0.423554,0.6638206944923604,0.7015385505460221,0.8285756341837501,INFERRED_FROM_SEEDED_PROTOCOL,fraction
az_class,43,MAIN,200,HISTORICAL_REUSED,EXACTLY_COMPATIBLE,0.7475097272727272,0.7604702517217631,0.7493004578947047,0.07792500000000005,-0.07768350000000004,0.818131090909091,0.7322223999999999,0.900383,0.6781164512983427,0.7202082334337633,0.8351603147915406,INFERRED_FROM_SEEDED_PROTOCOL,fraction
az_class,44,MAIN,200,HISTORICAL_REUSED,EXACTLY_COMPATIBLE,0.7479624545454545,0.8139700111635839,0.7672197748226636,0.0750348,-0.0732751,0.8145761818181818,0.7427967,0.79962,0.6793185301303976,0.7143605075477201,0.8337593429685971,INFERRED_FROM_SEEDED_PROTOCOL,fraction
az_class,45,MAIN,200,HISTORICAL_REUSED,EXACTLY_COMPATIBLE,0.7329359090909091,0.8152725081136036,0.7741134386216817,0.0818827,-0.07880720000000001,0.8045788181818182,0.7249448000000001,0.812847,0.6818523765079041,0.717470098004549,0.8444721903431223,INFERRED_FROM_SEEDED_PROTOCOL,fraction
az_class,46,MAIN,200,HISTORICAL_REUSED,EXACTLY_COMPATIBLE,0.7588953636363637,0.7799655964056146,0.7389551937768464,0.08813810000000001,-0.08018340000000002,0.8317893636363636,0.7628828,0.719021,0.6708928095771715,0.7125520764828012,0.8318227327030238,INFERRED_FROM_SEEDED_PROTOCOL,fraction
